fLength:,fWidth:,fSize:,fConc:,fConc1:,fAsym:,fM3Long:,fM3Trans:,fAlpha:,fDist:,class
-0.45597377,-0.5929904,0.34709835,-0.34594983,0.27201036,1.5589318,-0.05493781,0.6723222,0.360779,-0.18124527,h
-0.25626963,-0.29432002,1.1477501,-0.96827304,-1.0544447,0.5007738,0.5944992,0.049850523,-1.3503567,-1.1240928,g
-0.2648908,-1.3441622,-1.6242363,0.22075361,0.32434395,-0.682392,-0.2932541,-0.72931653,-1.2025137,0.1567809,g
-1.2646409,-0.6644884,-1.5115579,1.8257352,2.2526093,-0.10655531,-0.097222626,-0.817765,0.9640502,-0.2629924,h
-1.1795049,-0.5069077,-0.03985218,-0.51314586,-0.62154686,0.02594652,-0.24603027,-0.68239266,-0.30120203,-1.0086601,g
1.323862,0.46097666,0.59393066,-1.0711281,-0.7765399,1.3087118,1.2887167,1.3288935,0.33604172,1.491596,h
-0.7016618,-0.17033911,-0.5225651,0.9188722,0.8317875,0.9668493,0.35371327,0.44057786,-0.7122408,0.2640508,h
-0.5513048,-0.3740543,0.48951676,0.5223766,0.05846774,-0.09270322,0.032860883,-0.3517268,0.42093706,-2.166296,g
0.8638925,1.8021652,1.4104753,-0.93475294,-1.1645459,1.858643,0.8738317,1.6402674,1.3943965,-1.4835676,h
0.7051449,-0.12463641,-0.5655167,-0.47578412,-0.37412408,-0.9660456,1.4951203,-0.0073563755,1.9623384,0.35115498,h
0.62433213,-0.5359719,-0.55884105,0.030982643,0.40854096,-0.9081138,-0.05068621,0.11723058,-1.2994635,0.6526967,g
-0.8616973,-1.2035764,-1.7401587,2.016712,1.6830949,0.30372143,0.11082321,-0.3195851,-0.09731771,0.20493749,g
-0.9682676,-0.4202133,-1.0923897,0.8753389,1.2040585,-0.053868905,-0.59778625,-0.3943815,1.1955146,-1.6250772,g
-0.72918373,-1.0228148,-1.2445209,1.7589427,1.3740611,0.9340355,0.25009927,-0.25871062,0.36185133,0.84196436,h
0.1921548,2.3736644,0.33404198,-1.311144,-1.388864,-1.5917925,0.9320939,-1.694036,-0.3189956,1.171557,h
-1.2852956,-0.3429085,-0.44908476,0.8580697,0.39977834,0.19787389,0.093378186,0.27057695,-0.22875062,0.587034,h
-0.75157225,-0.2721094,-0.11999929,0.25339758,0.49235916,0.02454722,-0.42403156,0.38533157,-0.7508625,0.39757007,g
0.32858184,-0.7541486,-0.47172016,-0.21418768,0.30480412,-0.39846066,0.20725283,-0.82239056,-0.393321,0.0899158,h
-0.5445427,-0.20847888,-0.92168623,1.3848405,0.45971218,0.17144567,0.21515432,0.43300024,1.256206,-0.2988654,g
-1.1450117,-1.0242358,-0.1835349,0.3095926,0.5714249,0.86861694,-0.16596437,0.16415466,-0.11199817,0.50943017,h
0.5415185,0.74962574,0.17616794,0.0995287,-0.22911939,0.30147314,-0.31717604,0.6318552,1.6698316,1.8226151,h
-0.82848096,-0.81037414,-0.5696065,0.70300376,0.35362372,0.04897608,-0.79407334,0.7146332,0.3892025,-0.5532211,g
0.016646206,-0.30656576,-0.03294219,-0.56718934,-0.25000057,1.1656551,0.15176114,0.34151348,-0.37596762,0.66135234,g
1.7340078,0.19842955,-0.08333635,-1.4349103,-0.8588555,1.7813672,1.6074445,0.018924117,1.1308239,-0.22983915,h
0.1841318,0.017865479,1.3767018,-1.3146157,-0.9443213,1.195968,1.5985281,-0.32450476,-1.0251557,1.0301977,g
0.27075598,1.345872,0.61835665,-0.72916836,-0.609008,-0.26819488,-0.17983931,0.9320339,1.9965917,1.15614,h
-0.4246267,-1.3749679,-0.7621324,1.5072889,1.7838763,0.0436178,0.3487409,-0.79814947,-0.4776818,-0.7847054,g
1.2535346,2.473514,2.0900338,-1.3274876,-1.5261786,-2.7387457,0.020092994,1.7586626,-0.66419166,2.0124137,h
-0.03618488,-0.5157875,-0.7764316,0.2527788,0.46650156,0.5286588,-0.07150214,-0.071580395,2.325273,0.34401214,g
-0.75155044,-0.5279925,-0.8776082,1.3318073,1.4741533,0.7383,0.3038996,-0.8484329,0.8253774,0.8909295,g
-0.41243267,-0.12510073,-0.35381126,-0.5883658,0.15937452,0.08971852,0.23611693,0.1846802,-1.0636857,-1.3185314,g
-0.89773715,-0.4403456,-1.8691258,1.6839304,1.9496777,-0.11037046,0.1493311,0.711994,-0.67382455,-0.93357944,g
0.287202,0.5323944,1.395713,-1.373863,-1.3775206,1.0241143,1.0345477,1.3690908,-1.1627088,-0.66169834,g
-1.1755664,-0.4688659,-1.4610851,1.9247663,1.8410261,-0.05333832,-0.3573235,0.7064153,-0.46793818,-1.5244148,g
1.0235819,2.8355494,2.134117,-1.7365547,-1.3046398,1.8620838,1.4868848,-2.1080825,2.6209383,1.39579,h
3.128541,2.8171906,0.43142298,-0.10630201,-0.32770312,-4.1715474,2.3464103,-3.5754879,0.37132928,2.0426917,h
0.21086475,0.6945388,0.85479575,-1.5667607,-0.75862217,1.1850485,0.8073493,1.0566369,-1.006045,0.3309254,g
0.43240148,0.21574986,1.7070142,-1.2601125,-1.0749681,0.6728872,0.5014088,-0.79709136,0.37194225,-1.3136339,g
-0.8653493,-0.9607778,-1.5359858,2.2505982,2.333229,0.3778343,0.4129799,-0.26553684,0.7870091,-0.34039596,h
-0.58781034,0.42686188,1.7596469,-0.9213995,-0.48678717,0.9297014,0.6291413,-0.9532038,0.4112298,-2.3107927,g
-0.739923,-0.5217001,-1.6907954,1.6332765,1.0612277,0.3346639,0.11292023,-0.29459596,0.27824315,0.69919014,h
-0.40742257,-0.58601654,-0.67178094,0.23772272,-0.042064495,0.3019017,0.26803252,-0.25243634,-1.2606354,0.46024525,g
-1.0011106,-0.113928914,-0.37668708,0.20551914,1.7114549,0.42379496,0.42007995,-0.66516113,-0.20733356,-0.53702134,h
0.08562118,-0.3837687,-0.21727192,-0.3991146,-0.41406515,1.4841473,-0.27857566,-0.96564925,-1.5228088,-0.5681519,g
-0.17745905,0.38335618,1.2145644,-0.14682531,0.08252984,-1.3072433,-1.0345154,0.63856727,-1.3581622,1.4658043,h
-0.2267999,-0.037445843,-0.9769677,1.5519744,2.070518,0.089660764,-0.5908033,0.06807089,1.6135879,0.67452204,h
-0.43506247,-0.10750757,0.21203023,-0.2065798,-0.50285983,0.12721047,0.3225297,0.28354833,-0.85810465,-2.2850013,g
-0.77514964,-1.0122988,-0.83995247,0.25583455,1.119488,0.024100468,0.0702264,0.3528051,-1.1653513,-1.4399399,g
-0.9807335,-0.41166925,-0.5899155,0.47653955,-0.13630861,0.72221506,-0.29656088,-0.51171005,-0.5981643,-0.67904323,g
3.4292262,1.9085188,0.73835,-1.0805267,-0.53997886,6.7280617,-3.513329,2.6265004,-1.012387,-1.2378242,h
-0.7891173,-0.7919941,-1.2847391,1.1470377,0.34557056,-0.5408474,-0.26269293,0.28818807,-1.6874708,-0.061759852,g
1.2015712,0.4148296,2.1108434,-1.3349792,-1.4803873,-1.2246202,0.9872912,-1.0574338,-0.7818042,1.0375669,g
2.89607,2.748056,0.83206886,-1.4299272,-0.65585494,-2.873999,-2.9577715,-2.931599,0.77300847,1.1997375,h
-0.7197048,-0.7067714,-0.46620357,1.4049385,0.45141667,0.28612942,0.064209364,0.19541165,1.9517148,-2.3301113,h
0.78529584,0.47561145,-0.035055716,-0.39726192,-0.4706904,-0.263739,-1.5083905,0.8844624,-1.0225072,1.635777,g
-0.35990834,-0.1340495,0.4676912,-0.100699335,-0.07638547,-0.014831051,1.143488,0.21001597,-0.5869767,-0.7700393,g
-0.42273054,-0.6996435,-0.53508747,-0.24128568,-0.28346065,-0.0017141104,-0.14167234,0.077984214,1.0537926,-0.33124167,h
-0.42974594,-0.96689653,-0.539739,1.3134117,1.6595235,0.49956775,0.33979744,-0.34939858,-0.94092524,0.11502914,h
-0.568045,-0.9127315,-1.555935,2.3295658,1.4148923,-0.48097077,0.22423348,-0.5185979,0.62583005,-1.4718463,g
-0.50870794,-0.3314778,0.16035134,-0.33722997,-0.29540506,0.5618323,0.9012137,-0.12878849,-1.4236536,0.440233,g
2.8524191,0.82126856,1.6047256,-1.5575002,-1.9403837,0.100268975,1.1074765,-1.3677176,-0.17443353,-0.720955,h
-0.9745804,-0.50136113,-0.3450972,-0.009096146,-0.123093426,0.09663414,-0.32436123,0.36993125,-1.1331706,0.2832887,g
-0.17658484,-0.8557115,-0.8878635,1.3335204,1.2974354,1.0273058,0.28624573,-0.17082663,-1.1255821,0.68613076,h
-0.5142822,-0.28848875,0.4484628,-0.42364708,-0.58307767,0.5539609,0.13313887,0.9240651,2.08292,-0.31637025,h
2.1843987,1.1803797,0.5994163,-0.94264996,0.048435748,-1.1567814,-2.7156575,-1.5145504,-1.0975726,2.0069637,h
0.14026973,-0.5276859,-0.075616814,0.0040757656,-0.40008527,0.19793412,-0.1001448,-0.022589594,-1.1400524,0.69815236,g
0.77409536,0.71788687,2.6090846,-1.6768534,-1.7548338,-1.280702,1.4954116,1.1386676,-0.8198422,0.94702905,g
-1.0457014,-0.60566115,-0.56505704,0.749736,0.7722026,-0.3002866,0.23290326,-0.95772743,-0.1918467,-0.06394127,h
-0.54488957,-0.1047753,-0.07283723,-1.263586,-0.588566,0.71966755,0.06643026,0.55940574,-0.5744647,-0.15406159,g
-0.17427957,-0.27166477,-0.9552587,0.80999136,0.16246462,-0.7684937,-0.99113315,0.22992262,-0.78608644,-1.029538,g
-0.5671662,-0.38937277,-0.980773,1.8409808,1.5183457,0.13629317,-0.34922123,0.7217181,1.050483,0.2507306,h
-0.55262804,-0.49820548,-0.3217165,0.27351895,0.60005236,0.40402395,0.30103847,-0.43770248,-0.16300271,-0.7094874,h
-0.9805843,-0.8353034,-1.0871843,2.0294096,1.7763641,0.059978202,0.35064253,-0.4389377,-0.92042947,-0.5250331,h
-0.14052701,-0.6999752,-1.192848,1.2338858,1.7978065,0.5546803,0.08540623,-0.51812625,1.8976976,-2.3801496,g
-1.011634,0.34470722,0.37843016,-1.2234228,-1.144753,-0.010260351,0.6270377,-0.47929552,-0.8894207,0.44485825,g
-0.6494628,-0.3763859,-0.31951034,0.76290804,0.9130136,0.6749022,-0.13235098,0.8306832,-0.02349338,0.17760804,h
-0.43794838,-0.6084833,-1.6477576,1.9947006,1.757375,0.37689573,0.46675318,-0.21477935,-1.4791698,-2.0691273,g
-0.07151449,0.09757973,0.3179251,-1.1935056,-1.1347669,-0.28328887,0.14558735,-0.5277683,-0.64034677,-1.4065504,h
-0.7703404,-0.6361063,-1.2387152,1.5517008,1.8021204,-0.08564283,0.009893894,-0.6720624,-0.74954444,0.14782171,g
0.1829394,0.21812774,0.77616143,-1.2516335,-1.1262553,1.4227085,1.0222701,-1.5644617,-0.56071985,-0.3576343,g
-0.67962694,-0.60038275,-0.30681705,0.7355753,-0.07139999,0.5167867,0.17418982,-0.40385154,0.5399848,-0.69194376,g
-0.29749942,-0.764146,-0.35894927,0.83860046,1.0848818,0.4324336,0.12397908,-0.52055776,-0.4453895,-0.036182746,h
-1.3059951,-0.73022074,-1.6292473,2.2797003,1.3727692,0.54985607,-0.1335198,-0.20460322,1.1529616,0.015363917,g
3.2567356,4.456657,3.3417547,-1.6529353,-1.589763,-4.3866367,-2.9689155,-6.2161527,1.6139805,1.7069103,h
-0.92627156,-0.3325295,-0.65027505,0.89575815,0.38101915,0.28657675,0.24798952,0.41043735,-0.3972889,0.062242866,g
-0.9602854,-0.04269515,-0.14249113,-0.7634886,-0.31532118,0.76896626,0.14984763,0.4984932,0.6713768,-0.5571031,g
0.43088484,0.55699885,1.8409227,-1.1197417,-1.5975525,-0.89137083,1.4125608,-0.7885437,-1.4670138,1.5454427,g
0.7739361,0.43182698,0.09630692,-0.5228431,-0.44725388,-1.2562934,-0.57926434,-0.9148198,0.23826113,-0.8149002,h
0.5730517,-0.7188904,0.29523337,-0.6430828,-0.7904873,-0.44372654,0.096172035,0.33900115,-1.1748128,-0.46192962,g
-0.70704335,-0.45511085,-0.6136419,-0.16425608,-0.41045305,-0.1245155,0.24335131,-0.9349256,-0.8497978,-0.28566164,g
-0.13534051,-0.48333487,-0.24680266,-0.13017564,-0.27026588,-0.3412326,-1.0843933,0.78324676,-1.0408835,-0.028675273,g
-0.40745556,-0.15413125,-0.008105993,-0.16861266,0.26474464,-0.21813536,-0.85698736,-0.57154983,-0.56759584,-0.3388907,g
-0.5801395,-0.18805127,-1.0323287,-0.102980316,0.43442333,0.01129815,-0.51728433,0.23413149,-0.5541661,-0.84903806,h
-0.16412473,-0.016991585,1.1560472,-1.5321727,-1.2672707,0.78948784,0.37835252,-0.5651364,-0.4109145,-0.74066514,g
2.3527386,0.7073062,1.7124163,-1.8501414,-1.634334,1.3124173,1.281897,2.0041132,1.6789232,-0.8364773,h
1.8795326,3.4106922,2.3023808,-1.6563597,-0.99631834,-0.9795511,-1.226207,0.56886077,1.2830863,2.2328508,h
-0.90450627,-0.28870243,-1.0178103,1.0599532,0.8509401,-0.5430844,-0.32271004,0.053960875,0.7848143,0.4650842,h
-0.579818,-0.074946016,-0.09218623,-0.34420377,-0.61660695,-0.52781856,-0.03344032,-0.0045105815,-0.04764901,-1.3184881,h
1.2107877,-0.016816564,-0.27613276,-0.46049494,-0.711977,0.853013,1.6602107,-0.08059341,-0.2593474,0.63489604,g
0.3571461,-0.25601506,-0.10304469,-0.7313789,-0.3808009,0.6514655,0.35758916,-0.26918074,0.7613057,0.34860468,h
-0.6526158,-0.18820882,-1.3966327,2.615976,2.2282968,-0.58183587,-0.52594084,0.64799845,-0.5748446,-1.1950055,g
-0.93344057,-0.71688324,-1.6002775,2.5332735,2.3528974,0.567894,-0.15729176,0.39626938,0.21173592,-1.393025,g
-0.6542872,-0.012586385,-0.49013317,-0.5793196,-0.54406893,0.8622063,0.6104027,-0.6592858,-0.3029305,-0.7481697,g
-0.5795866,-0.5772624,-0.68554544,0.70145947,1.1020963,0.60036033,-0.11089237,0.68531024,1.4132398,-1.5453048,h
0.67273706,0.47355512,-0.039811894,-0.63126427,-0.46083155,-0.7006948,-1.8467684,0.7656551,0.05274138,-0.99646604,h
1.091114,0.52445316,1.0593386,-0.23192894,-0.34499907,0.53757405,0.77623105,-0.43185362,-1.3828084,2.3973541,g
0.1765536,-0.8774897,-0.7186395,0.47089648,-0.12256499,-0.39831313,-0.48681933,0.4994452,0.57227904,-2.1183414,g
-0.22099951,-0.44607985,0.6225887,-0.52354115,-0.11371705,0.8171073,-0.09349939,0.50711447,-1.2958825,-0.52902627,g
3.4024577,3.0322778,0.71329755,-0.92387587,-1.1552944,-3.8775058,-2.328213,2.6230872,1.4718171,0.78022885,h
0.4369833,-0.46146715,0.11419602,-1.171305,-1.4146206,-1.8805987,1.6264321,-0.13983715,-0.26433283,0.49691668,g
0.35355797,-0.6224514,0.17284262,-0.68138033,-0.50741976,0.8027228,1.3350576,-0.19027644,0.46012223,0.26313522,h
-0.726604,-0.6687642,-0.38372934,1.5980496,1.5960331,0.112428896,-0.15867154,0.19346355,0.3994169,-1.634959,h
-0.6268478,-0.12349668,-0.87217534,1.4006928,0.8855501,-0.09479454,-0.53719187,-1.1783526,-1.0393342,0.22627905,g
1.6032174,0.42986304,1.7839544,-2.0053828,-1.4713073,-0.71875453,1.3151052,0.43715078,-1.5817338,1.1504629,g
-0.24123594,-0.6455852,-0.87164384,1.4933383,1.6173111,0.26153937,-0.73379344,0.54562557,1.7288342,-0.46147025,h
-0.6521126,-0.8071072,-0.7533651,0.6395174,1.0633304,0.24702185,-0.03896159,-0.27129835,2.3355699,-0.4873405,h
3.378765,1.9953516,3.2191944,-1.7821629,-1.8059976,-4.1082196,-3.564934,1.4658324,0.60389227,-0.6860578,h
-0.5106845,-0.7117161,-1.0445855,1.1973661,1.1074758,0.4701472,0.7239797,0.9283021,-0.6353621,-1.7231735,g
-0.44188341,-0.43023825,0.33986956,-0.17255464,-0.6492206,0.43481088,1.0847467,-0.77937233,-0.5493001,0.39412796,g
-1.1005363,-0.7270752,-0.7322246,-0.45281655,-0.069312096,0.29554707,-0.3220119,0.5570446,-0.21194243,-0.80211663,h
-0.40300512,0.4277387,0.5919019,-0.95482653,-1.0198517,0.7467746,-0.26274908,0.16745074,-0.80842793,0.16187827,g
0.7311718,0.17899603,1.8119601,-0.98156226,-0.81765795,-0.5785784,0.79707956,0.97816944,-1.1805745,2.1038532,g
-0.5767717,-0.38279042,-0.78391504,1.376207,0.7098414,-0.25247723,0.07337731,0.49979812,1.9530668,0.7063541,h
1.3209707,1.7868748,1.0863969,-1.018515,-0.3537156,-0.6850469,-1.7392004,2.03203,0.083798036,1.6879709,h
1.2295281,1.6323597,2.2091584,-1.2061898,-0.88876915,1.4898843,1.13589,-2.1166859,2.292586,1.2238595,h
-0.25376305,-0.99545527,-0.24579562,0.749017,0.18579417,-0.44507557,-0.4166741,-0.51212275,0.2337844,0.113363184,h
1.5139337,1.1193236,-0.24790074,-0.26817456,-0.3498718,-0.08622042,-2.3364754,-1.2917249,-0.08947265,1.881538,h
-0.75896126,-0.37314093,-0.9471203,1.0479599,1.2326941,0.66462475,0.25303203,0.26791546,-0.4368306,-0.26952314,g
-0.4860239,-0.12969553,-0.21035063,-0.6269249,-0.54292554,-0.293607,0.084103175,0.5580365,-1.4627961,-0.9257682,g
0.18218124,-0.016965874,-0.22443926,-0.060041822,0.72947264,-0.74969244,-1.042685,0.7089969,2.0639052,0.59551364,h
0.5618669,-0.3005247,0.4212919,-0.7249956,-1.312751,-0.63519925,1.7102454,0.81824,-1.4757463,1.1490093,g
-0.48306865,0.14324303,0.81571454,-1.0201257,-0.7959303,0.20177153,-0.1790205,0.5749347,-0.8376665,-0.50856173,g
-0.8751143,-0.60751164,-1.0876764,1.0877981,0.5281115,-0.19785446,-0.2718604,0.12620449,0.4903692,0.41926134,g
2.3870387,0.28900647,0.45293415,-0.97965646,-1.2107102,-3.4884565,1.8324513,-0.93084574,-0.28060675,0.67300147,h
-0.004728224,-0.2775777,-0.25444564,-0.6715664,-1.0243776,0.6634411,0.32733634,-0.098795325,2.0113883,-1.3389626,h
-0.79929405,-0.4147418,-0.45751533,1.6875219,1.8347002,-0.11244501,-0.06753366,0.41442215,-0.95596915,-0.7528736,h
-0.06027168,-0.088934794,-0.008267693,-0.7866707,-0.37183362,0.9797019,-0.76711607,0.5290664,2.263195,0.12027654,h
-0.15743649,0.49474803,0.24366993,-0.8585087,-0.7255385,0.35926726,-0.045022756,-0.9279014,1.2141045,-0.08540699,h
-0.38010854,-0.82797706,0.90036654,-0.4188685,-0.3513682,0.8272236,0.19602449,-0.47121328,-0.5951262,0.49575958,g
-0.25334203,0.72110987,1.3628405,-1.3443227,-1.0607903,-0.40949082,-0.82155126,1.522698,-0.41299203,-0.9472052,h
1.8753561,-0.25792825,-0.31302124,1.1376697,0.24316695,-2.0094209,-2.3499372,0.18769774,-0.66864955,0.60029435,h
0.44632524,0.9893059,2.0241814,-1.0653068,-0.73147464,-0.46728706,0.86880964,-1.475116,0.7178796,1.9287432,h
1.5089475,-0.1917997,-0.95210046,1.5893457,1.3636646,-1.7865238,-1.8954577,-0.42958522,-0.9973542,1.5826265,g
-1.109089,-0.2817318,-0.45039916,0.60928047,0.30480984,0.08083944,-0.44589764,-0.6532035,-0.44938278,-0.38728827,g
0.25060332,1.1397002,0.75893414,-1.7003582,-1.7626917,0.6833397,0.65307987,-1.9200406,-0.6840513,0.15676609,g
-0.4906651,0.68220943,-0.049062178,-0.6508988,-0.7922629,0.41936517,0.66776484,0.74031174,-0.73973906,0.8441432,h
-0.9125831,-0.2407955,0.1616155,-0.2013745,-0.1107356,0.4464674,0.34202373,-0.24868795,-0.7931397,-0.31316158,g
-0.41719896,-0.5954682,0.10076746,0.41396603,1.0214894,0.7782577,0.33061492,0.33322954,-1.1383718,0.022135377,g
-0.8297248,0.12456101,-0.82980704,0.18814203,0.8367981,0.72939026,0.039828807,-0.5178069,-0.7864962,-0.33297536,h
-0.0351152,-0.37526423,-0.7655721,0.19969068,0.0818741,0.63472676,0.80545044,-0.28731632,0.035493493,-1.3423336,g
2.0974643,0.11273989,0.3871091,1.4874449,0.91266656,-1.8147041,-1.1644028,1.0059319,-0.22394493,1.7036738,h
-0.66531634,-0.9189222,-1.3299258,0.93789464,0.38508382,0.46421152,0.20321608,-0.36305636,-0.98440534,0.27616397,g
-0.56257236,-0.47625214,-1.0825899,0.8632834,0.5559254,-0.3377601,0.11201301,0.23044765,1.457835,-0.19768831,g
-0.7545471,-0.31859803,-0.0685585,-0.12796447,-0.35824344,0.9280602,0.67842984,0.31675428,-0.582261,0.7547261,g
-0.9471723,-0.17402339,-0.8341899,0.20414408,0.093680725,0.024191558,0.07335632,-0.5086352,1.6401528,-1.6816739,g
0.35464665,0.07124666,1.5524014,-1.2823905,-1.4436765,1.0826019,1.787596,-0.98501265,-1.3242028,-0.2879827,g
-0.95030284,-0.13266414,-1.0101408,1.4581463,1.3167818,0.426095,-0.40448713,0.335702,0.17831396,-1.4431393,h
3.4736283,-0.13467687,0.119822085,-0.14027125,-0.96455157,-1.876611,1.7945044,0.13263404,1.3037955,0.94845104,h
-0.4154068,0.14248705,0.9380558,-0.82757944,-0.671132,0.28618482,0.4709366,-0.4853042,1.6607416,-1.1954252,g
-0.5825045,-0.89993435,-1.2215053,0.44482073,-0.33965462,0.15431671,0.86320734,-0.62384176,-0.99954146,0.075265825,g
0.11884763,-0.123580426,-1.4428917,0.8847022,0.37332222,1.4387518,-0.99981725,0.7051265,-1.1701909,0.004110478,g
-0.25854033,0.01933451,0.5630559,-0.4318547,-1.2322192,0.79588014,0.7118899,0.59684515,-0.24696353,-0.18359652,g
-0.15094605,-0.36701804,-0.24223357,0.9720707,1.0588299,0.65918314,0.56080824,0.122597724,0.073189855,-0.8621212,h
1.4848875,0.85993797,-0.33446634,-0.11701676,-0.56029856,1.6964121,-1.7193263,0.6934575,0.48057756,-1.1899421,h
1.132813,1.5482194,0.5637113,-1.198013,-0.6581609,-2.9513588,1.9371228,-0.6500082,-0.6353437,-0.12017253,h
-0.65737456,-0.92453974,0.21756491,0.29971126,-0.44313467,-0.24309272,0.21833006,-0.827876,-1.1975272,0.29474896,g
0.13561937,1.5895859,1.9624573,-2.164857,-1.6135116,0.71323705,0.728106,2.1462257,1.2656661,-0.97122437,h
0.85167015,0.3845158,-0.18722735,0.08794142,0.27717924,-0.6428597,-1.8908215,1.0821778,1.1527541,-0.41221473,h
-0.4987388,-0.33740503,-0.9537863,0.75369775,0.4047948,0.260266,0.12860179,-0.19603702,-0.22694111,0.8175798,g
-0.64120454,-0.45928603,-0.7944891,0.7686113,0.19201821,0.58838516,0.4907207,-0.9251299,-0.9582472,-0.325807,g
-0.16793308,-0.053885847,-0.7727475,0.4976806,0.40260056,-0.951779,-0.107466914,-0.12220338,0.79162234,-0.9122741,h
-1.2617035,0.013489485,-0.5584773,0.4786308,0.16657194,0.51479864,0.20920524,0.41726807,0.0008865744,-0.11894558,h
1.411491,0.46381947,-0.020847857,-0.18530607,-0.22373696,-2.2407005,1.6664903,0.28104287,1.9993612,1.1380203,h
-1.185834,-0.49476013,-0.93503714,0.2014746,-0.1103044,0.20633575,0.040852025,0.52074814,1.5187875,-0.8527882,g
-0.54074335,-0.025071666,-1.4047673,-0.28423324,-0.1331674,-0.041405573,-0.33093795,0.7316872,1.3917135,-1.6311961,g
-0.2903189,-0.3205831,0.9227898,-0.8602032,-0.9622972,0.71784925,1.1236256,-0.2913168,-0.8082686,0.47046846,g
-0.26066807,-0.56442785,-0.94045806,1.3006339,1.1771523,0.5428147,0.06568876,-0.69656944,1.394059,-0.5916288,g
-0.70810616,-0.8473294,-0.6178265,0.9296596,1.1534225,0.08827218,-0.13668418,0.26253724,-0.38787255,-0.79742795,h
-0.9006914,-0.32800788,-1.3105745,2.3516247,2.608456,0.30054688,-0.66142124,0.5501071,0.09597543,-0.55075777,g
-0.5449183,-0.2981269,-0.7954979,-0.25690773,-0.029130042,0.35840034,-0.10319875,0.3077209,-1.0337121,0.35794696,g
0.74695754,0.8056042,2.327014,-0.6617234,-0.7860998,1.1280501,1.0216953,-0.93419474,-1.0354967,2.4635084,g
-0.31482124,-0.80621004,0.74819064,-0.69799864,-0.99197936,0.6303382,0.423365,0.91940975,-1.3232114,0.2050046,g
-0.46181744,1.3407921,1.5633259,-1.0622432,-0.83684367,-0.2639526,-1.6770227,2.189988,1.9813372,1.1947694,h
-0.07059921,-0.4163505,-0.1409296,0.051444955,-0.07700698,-0.043055043,0.13909687,-0.6264748,1.264669,0.7646495,h
-0.68794507,-1.057108,-1.3784196,2.541193,2.9051673,0.03261084,0.23025683,-0.3247307,1.1169008,-0.31864387,g
0.62642163,-1.116364,0.64791447,-1.5095186,-0.9672431,0.45646876,-0.19744319,0.07946953,2.0274038,-0.46403494,h
-0.21494466,-0.82427245,-0.7373756,0.5739774,-0.02321206,-0.005407393,0.5623814,-0.15436059,-0.45275155,0.7164245,h
