x,y,z
460.2799238986394,244.69935633064048,b
450.3685708566819,238.1157004251397,b
427.5721636937392,245.77124070397903,b
443.783855843684,237.2874436758101,b
473.70905936486565,290.329329299902,b
468.2401413721444,207.4388725174615,b
446.5321534418943,238.46339017680577,b
461.8944641235585,276.6381069252408,b
451.3153231225743,290.8411840916617,b
451.70755331475794,224.5927373678445,b
473.8815779274494,199.832277016022,b
464.9311854794498,267.0750737779926,b
436.56204296683615,271.83670010398055,b
494.4312114681128,273.7454878885881,b
540.6957700759029,283.4278282236012,b
484.2080046871201,302.3165559391797,b
519.9895806513838,314.1788130516504,b
459.0685685744115,252.5909819465901,b
452.5564297881353,296.2085582420116,b
539.2066623751983,257.7671495346014,b
496.30870234852665,292.43945823328147,b
487.7645128253054,310.2357277321919,b
512.4668329271351,297.5226983738911,b
470.788565503341,282.89713512378114,b
482.71478817694776,324.59396933003507,b
505.8564973108095,348.72798231980136,b
503.4799453103925,273.6772062205582,b
530.9172770879544,292.25461439884725,b
515.9186284206302,326.82324035329464,b
541.9070972704092,334.43516505682646,b
531.3443615508352,305.69866650368726,b
499.5627145218932,320.3579596285482,b
527.2197430140668,359.22320183607087,b
472.8668305814497,362.2108155271984,b
551.0749604747459,392.0607575665307,b
506.08706623877737,385.3141009032638,b
510.0634813792825,370.853159117558,b
550.0432786252849,393.3141392033695,b
570.8782972162023,381.5611404059705,b
517.1211964642067,367.13899131697633,b
521.7367517408569,360.1907271097854,b
518.3382465066967,365.6237267474969,b
614.4437691059574,411.2117822648124,b
558.011701682779,343.8196921604191,b
566.1712590896922,375.8606263214336,b
620.4275439040888,417.5957162030323,b
518.8336864263982,369.2415840339926,b
571.3134015162796,366.4077552202025,b
600.7311039573477,402.821388682432,b
544.9513479648172,363.9964022239499,b
570.1405702561703,384.6132044714386,b
569.5585158082232,404.8248839713281,b
584.2287946681558,418.02272445847217,b
543.9656832387001,414.2491588723077,b
533.9599696163659,437.31373413240345,b
580.4895582847573,390.0597181492635,b
614.8393922357915,431.9244848712216,b
589.2346236986418,421.9431905784606,b
529.6068889271512,430.3344626028827,b
632.5908626494926,384.7242215598669,b
595.971903756525,426.0546726517954,b
626.2575605627131,410.2868494946863,b
564.285795732762,418.1360930699974,b
545.3908621777056,438.175659910234,b
569.248922804857,502.2309998534208,b
598.2812950568899,419.1521163513769,b
605.5257131036734,491.65508310106776,b
551.1983872826322,453.9609761000313,b
591.2716820206505,415.12040850482725,b
615.578793206442,440.9827958098522,b
602.9100182593204,468.2989877603922,b
591.5703655623696,460.38913655895857,b
623.1355059554264,428.9798707788232,b
616.9179288524859,450.7265906766659,b
599.4382642700355,539.4953930864875,b
494.4030754963189,250.6427055276883,b
473.58885149357263,269.10013364281303,b
468.6589973744345,279.257200836107,b
504.9626632563143,240.8019384872564,b
490.5584443444214,226.467599848835,b
457.2518922254059,283.18955196073614,b
443.6305181954704,229.20170772152733,b
449.1302896439405,265.38898973614994,b
480.3343353973867,256.1673486481146,b
418.56204035771606,330.14233726546746,b
464.739363062257,281.79771808601527,b
522.8590235203285,254.18084470442247,b
491.428954715243,231.9227338513544,b
496.1798413726032,255.5196724370383,b
495.9426416440161,255.5787804871348,b
507.8055462786634,252.10690595171383,b
513.3969380267463,319.6246957404369,b
484.94848163954913,303.30095467775624,b
520.8992425296043,322.4801497341318,b
507.3967987926339,340.7693102518871,b
505.07459306042097,323.2291980304186,b
483.6467330247581,307.8281509195395,b
535.1217602315758,304.1721583793052,b
481.7556892559506,316.07735541937615,b
524.0071495306402,343.9648800742905,b
506.1528043753339,332.4410381096856,b
491.5171231421736,360.16196650760094,b
537.9418538605538,288.3280749045909,b
510.2549683753113,342.16209641202,b
525.1091279232246,336.91624111176907,b
562.5289226645828,316.1440569413661,b
528.3781219933339,339.5822885226436,b
523.1250604570365,377.31756775974736,b
536.0112761425776,350.0712381961422,b
521.013659544167,367.485299275062,b
517.636153919929,373.9883047617632,b
521.1210125324205,295.8554774856124,b
504.6933955029809,372.8984025544099,b
506.5123065618069,341.00437914937265,b
512.766369439096,344.63114734573423,b
519.9532861326866,346.8651397221597,b
542.1480007362768,317.6081517814216,b
532.3999839153246,339.0145750915109,b
545.7955176705168,330.1938519622014,b
516.7671901476666,346.1222046380868,b
493.6054923064373,307.11458782660327,b
510.25877058552175,325.04610959180064,b
529.8594528417128,331.9312865986744,b
509.6882078837978,356.7019465435717,b
514.2963505697968,275.8145024692324,b
490.8035222328508,259.47297760807,b
471.3845751367963,311.4398451395245,b
484.9805609094188,252.7288123220413,b
476.4244240820868,273.97978812410065,b
516.2198244313448,221.39511798380695,b
493.2188552821377,291.4539379381499,b
511.8682486117453,236.1468390016376,b
