age,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberRealEstateLoansOrLines,SeriousDlqin2yrs
-1.2512684,1.0425452,-0.13648115,0.8311234,0
0.22182569,-0.6990022,-1.0061705,-0.5692748,0
0.29610604,0.61504143,-0.2757986,0.8515085,0
-1.3063196,-0.6806956,-0.554652,-0.64940864,1
0.10424584,-0.6211006,-1.4058391,-0.82262284,1
-1.6483967,-1.0487207,-0.82286096,-0.5944317,1
0.58765244,-0.4819984,1.3350794,-0.19694707,0
-2.1236496,-0.93695825,-0.9410276,-0.9033145,0
-0.8046712,-0.47742012,-0.9245959,-0.40960035,1
-0.64176816,-0.16475022,-0.38388097,0.019031625,0
-0.7943429,-0.17363349,-0.02297879,0.08185986,1
0.6731625,0.00089007616,1.4404746,1.8706492,1
-1.9624615,-0.18969329,-1.7813296,-0.75704914,1
0.5081818,-0.4744501,-1.5812184,-0.850321,1
-1.4135818,0.16463993,0.05840943,0.76345015,0
0.22179179,-0.49776673,0.15215334,-0.17716992,1
-0.8913293,-0.58520824,-0.86272824,-1.0078917,1
-1.4611483,-0.31704497,-0.88791275,-1.080791,1
1.0027914,9.13247,-1.7062926,0.083145455,0
0.19555154,-0.007282747,1.3576803,1.4576865,0
-1.9801931,0.0775273,-0.3741956,-0.45885152,0
0.77000505,1.4042975,-0.41604355,0.5061265,0
0.3041366,-0.16532885,-1.3802524,0.30506998,1
0.8823438,0.7832799,0.12340961,0.05056875,0
2.522984,-0.48819092,0.10201194,-0.78280646,1
-0.9405007,-0.8331008,-1.8145938,-1.0239352,1
0.94336,-0.057735883,-0.42326248,0.07800518,0
0.7966778,1.3232154,2.3557363,-0.034970626,1
-0.82714486,-0.069466785,0.4676801,2.5900745,1
-0.48620433,-0.29347622,0.2643403,0.086444095,0
0.60934544,0.32071403,-0.53012466,0.19862704,0
-0.54355556,0.18312666,0.43205696,-0.8520137,0
-0.7367353,-0.76948285,0.73532003,-1.2684366,1
1.2625228,-0.28510356,-0.4606299,0.66494244,0
1.2741903,0.9069922,0.9753536,0.6135893,1
-2.0636327,-1.1348871,-1.4249622,-0.57341415,0
0.36271626,-0.123387605,0.38990974,1.1064591,0
-0.033306137,0.62512493,0.011033468,0.29150403,0
-0.7673285,4.353931,0.19962831,0.9871255,1
-0.120955124,0.23541526,-0.02824971,1.0594465,1
0.3864772,0.5696748,0.6548182,0.7869331,1
1.1550028,0.3395158,1.2257711,0.65887403,1
-1.6892142,-0.049351394,0.12233491,-0.57907104,1
-1.6854676,-0.3416225,-0.8425375,-0.88568914,1
0.019233346,-0.13939428,0.88985527,-0.11409277,1
-0.6178397,-0.10010632,-1.2961609,-1.0877601,1
0.07109344,-0.29836938,0.8703311,0.3626799,1
-0.8721911,-0.72671086,-1.0275192,-0.69833773,1
-0.65335536,0.55664575,0.22949204,0.6999837,1
0.06301983,-0.12684548,-0.235138,-0.72007036,0
0.8037952,-0.9049599,-0.18714237,-0.49042988,0
-1.9758315,-0.7767098,-1.4303963,-0.9040453,0
-0.75763863,-0.11653009,-0.6270318,-0.6620441,0
0.45943928,0.12589073,-0.34271067,-0.41359928,1
-1.613499,-0.084263995,-0.5432239,-0.8089848,0
0.68087465,0.9074759,0.10480869,-0.21087895,0
-0.16412032,-0.339325,0.2172275,0.111528516,0
-1.034523,-0.061164334,-0.042877674,0.1365235,1
1.6827819,-0.42865062,-0.6924514,-0.6760871,0
2.1137383,-0.54714304,1.2255106,1.0242693,0
0.4308544,0.73424804,-0.25175595,1.5601593,1
1.6482362,-0.4594444,0.54714525,-0.81306624,0
0.24671513,-0.39936286,0.052020572,-0.9050598,0
-0.1862309,-0.92917985,-0.39923492,-0.2689452,1
0.024978876,0.9412378,-0.40767553,0.4512602,0
-0.6028096,-0.31432542,-1.0477831,0.36142662,0
-0.21516518,0.26147473,0.96726084,-0.30470443,0
0.1534628,-0.47477815,1.4749627,1.4339746,0
-1.4986047,-0.71592987,-0.68945587,-1.0500735,1
0.95804715,-0.69594705,-0.72324026,0.7415977,0
-1.292771,-1.3119489,-0.48304975,-0.52265435,0
-0.012311794,-0.54411423,0.41899788,0.07293126,1
0.8907132,0.20285171,0.15311155,1.4965072,0
0.21894419,-0.115265116,3.0286832,0.98310006,1
0.7222508,-0.34673262,0.38641483,0.5160316,0
1.2117815,-1.0184299,-0.27217177,1.4885422,0
3.3350415,-0.4618817,-1.3100977,-0.3647803,0
0.58805776,0.2462092,-0.1850745,0.24476387,0
-1.3392551,-1.0479006,-0.9679336,-0.87551516,1
-0.5491736,0.36692435,-0.38582712,0.53307396,0
0.5744929,-0.23845881,0.53917956,1.2881988,1
0.36850336,0.30590355,1.3899236,0.3304748,1
-1.4184549,-0.3565867,-0.62746793,0.047785167,0
-1.8445446,-0.8595742,-0.71534187,-1.0651743,1
-1.3020395,-0.6998826,-0.4044407,-0.9190847,0
-1.5106412,0.080533534,-0.0042023063,-0.687728,1
-0.95555866,-0.7824494,-0.64923775,-0.29027402,0
-0.13867345,-0.40004408,0.16184728,-0.85408306,1
-0.6824598,0.44943395,-0.27761197,-0.6709297,0
-0.48801076,-0.0801733,-0.7821676,0.21729128,1
-0.5845405,-0.40756702,-0.5925856,-0.48698053,1
-0.4236337,0.3207407,-1.3148763,-0.8833952,0
-0.4456737,0.028356358,1.8237716,0.39151078,1
-1.7950987,-0.71457195,-0.058968782,-0.780441,0
-1.6595482,-0.6729685,-1.3386774,-0.7253538,1
2.458903,-0.6549797,0.6917672,0.68774736,0
-0.9887384,-0.15630162,-1.0331899,-0.6567199,1
-1.6704348,-0.92770296,-1.1164951,-0.79100066,1
-0.99578977,-0.14689088,-1.1087259,-0.94435835,1
1.5487268,1.5348556,-0.20925228,-0.64441144,0
1.2347306,-0.70301276,-0.60384524,-0.6626918,0
0.034107644,0.6106459,-1.5343183,-0.13767137,1
-0.26044384,1.0921985,0.44441402,2.7430007,1
1.8569413,0.51838267,0.027550094,-0.3056314,0
-1.0612805,-0.7391602,-0.3428106,-1.2532257,0
-1.3692112,-0.576103,-1.2567508,-0.91545016,1
2.6534522,0.37018013,1.309129,0.066348284,1
-0.5977274,-0.79054254,-0.73805135,-0.72947085,1
-1.6119313,-0.19911557,0.6899817,3.4581742,1
1.8454282,-0.90528774,-0.8468021,-0.9991024,0
-0.13620563,0.54071546,0.35796016,-0.01776423,0
-0.32258373,0.08539219,-0.6029141,0.12041831,1
2.6226878,-0.2431444,-0.02879119,-1.0095638,1
0.19798823,0.21715248,1.1177143,3.0050564,0
-1.41033,-0.7507255,-1.87201,-1.2951174,0
0.6418776,-0.10901222,1.8709122,-0.021489112,0
-1.328355,-0.4616552,-0.8299948,-0.97073555,0
0.6022383,-1.515043,-0.049457334,-0.25637844,0
-1.7435101,0.14227098,0.4811552,-0.8335785,0
-1.1453732,-0.7064608,-0.43342057,0.8244119,1
-0.58235043,0.27550408,-0.74196994,0.7684248,1
0.940517,-0.46465892,-0.8050804,-0.9041279,0
-0.90535474,-0.23287793,0.0318065,0.045996394,0
-0.62665963,-0.27937067,-0.88598907,-0.60478604,1
-0.85516745,-0.44031072,0.3542733,-0.042423766,1
0.378225,-0.821674,-0.24705271,-0.0201705,0
2.1738327,0.32037577,-1.3902187,0.03495721,0
1.2649966,0.68310314,0.6247684,-0.05465211,0
-0.08030933,0.67196524,0.039110668,0.70838326,0
-0.61902297,-0.18704072,-0.39121005,0.08961284,1
0.711254,5.865551,-0.3964834,1.0082937,0
-0.43770593,1.0925422,-0.14390078,-0.11159146,1
2.0390162,-0.45711306,0.34705234,0.019865151,0
0.5938565,0.3349792,-1.4493062,0.11368388,0
1.1763633,0.43375123,2.3678246,-0.14639209,1
0.93743074,-0.41542208,0.74697685,-0.14455444,1
-0.5889318,0.6623774,0.24515405,0.7333824,1
-0.22310632,-0.50182635,-0.06400268,-0.9648938,0
-1.4900885,-0.68315536,0.22953035,-1.1590788,1
2.0196736,-0.87513787,0.11564389,-0.928261,1
-1.2926521,-0.12430358,-0.9584312,-1.1317084,1
-0.61941385,-1.3832005,0.2036033,0.84209305,1
-1.4331009,-0.55832374,-1.2327316,-1.0222518,1
0.7456455,0.13758963,-0.52908754,0.59843713,0
0.4324447,0.4247084,0.37689966,0.7057913,0
1.7356918,-0.51476717,-0.10801068,0.2661772,1
-0.19266409,-0.45222178,-0.81125194,0.14401498,1
-1.1792115,-0.30392545,-0.84501255,-1.2471329,1
-0.69016874,0.8178548,1.022744,-0.6253018,1
0.86210835,0.14502981,1.1091858,0.8387933,0
-1.9069157,-0.74398106,-0.7445442,-0.83030057,1
0.33394435,0.09338561,1.1141893,0.95467013,1
0.5290279,0.0805608,-0.87020415,-0.9783405,1
1.046549,-0.033490688,2.190204,-1.0702752,0
0.6525626,-0.48895252,-0.6660034,-1.1222954,1
-0.87660205,-0.5527612,-0.3177731,-0.016291175,0
0.35852146,0.76556623,-0.16445494,1.0000467,0
0.93714803,-0.7284251,-0.6259599,-0.6745249,1
0.42397082,-0.7398864,-0.12375909,0.058896866,0
0.704954,-0.18793404,-0.33254412,0.68702596,1
-0.54908144,-0.20659685,0.073328406,-0.7201908,1
-1.3279718,-0.445279,-0.6764097,-1.2859462,0
-0.41716105,-0.108779475,-0.18820484,0.8440627,0
1.8717163,-0.73507404,1.382083,0.7723169,1
1.917923,-0.54004,2.1015089,-0.37991107,0
-0.83354425,-0.1033026,0.7048495,-0.9296386,1
-1.1211227,-0.12787691,0.30995113,-0.949623,1
1.9561931,-0.6070219,-0.17105168,-0.12869999,0
-0.6095928,-0.31076708,-0.5769811,-0.63030803,1
1.9752533,-0.00606519,0.4761776,-0.70622057,0
-0.57115966,-0.20797807,-0.94837314,0.33652413,1
-0.5026877,-0.46816134,-1.1517667,-0.8953098,1
1.0385628,-0.39511186,0.6812593,0.76042414,0
0.862631,-0.36021093,-0.047367305,0.62509155,1
0.84629107,-0.53383565,-0.7826648,0.22637843,0
0.88196576,-0.33163428,0.15988979,-1.2285969,0
0.021098774,-0.35480878,0.5288722,0.81070274,1
-0.06779081,0.5801635,1.227241,1.7063835,0
1.7913864,-0.53279656,0.3471351,-0.9071318,1
1.7479806,0.13429007,0.6444578,-0.24837911,1
1.8454509,0.3030003,2.6177404,-0.9604119,0
1.5909383,-0.26353443,0.8324058,1.2842863,1
0.78194857,1.7829251,-0.15366943,1.6069102,0
-0.8966753,-0.25409535,0.3882599,0.70858,0
1.3196863,-0.1978685,0.81702733,0.06807774,0
-0.14599521,0.07137573,0.97879845,-0.17046951,1
0.8073844,1.5439198,1.6113958,0.56458575,0
-1.5168817,-0.62371874,0.19247568,-0.23338181,1
-0.24486837,0.120789826,0.5129863,-0.90226364,1
1.5675992,-0.23040995,-0.5689322,-0.9394213,0
-0.10431856,-0.48267958,-1.5551149,0.07459624,1
-1.2348123,-0.4330501,-1.0407026,-1.194514,0
0.45729184,-0.41692713,-0.922219,-0.12846765,1
0.06628628,1.745467,-0.21131635,0.4338094,1
-1.0037581,0.085331,-0.8909283,-0.87874943,1
-1.4255468,-0.61178553,0.37975383,-0.91200155,1
-0.46710235,0.021321692,-0.63972646,0.69006133,1
0.3018176,-0.43368495,0.09016687,-0.8239909,1
-0.06156063,-0.20928352,-0.57584393,-0.12443538,1
0.579465,-0.42034116,-0.61162806,1.1265562,0
1.0274868,-0.28677443,-0.6672158,-0.1195932,1
-1.2708762,0.061179817,0.5663733,-0.09781811,1
0.09960005,-0.10831919,0.023810044,1.1959825,1
-1.2780087,-0.10250658,-0.69453275,-0.8028924,1
-0.9505941,0.31270462,-0.80126405,-0.017264817,1
-0.39188763,1.2778322,1.3707714,1.8019612,0
0.36837593,-0.22348662,-0.2363539,0.7470696,1
0.5420884,-0.5452717,-1.3834839,-0.9503811,1
0.9071917,0.14096448,3.2466326,1.4094936,1
-0.90171105,-0.6400366,-0.009188116,-0.79286706,1
-0.6427299,0.052886553,-0.78835493,-0.7937949,1
0.29791757,-0.24716449,-0.44714528,0.24386506,0
0.39379263,-0.38171628,0.07909315,-0.85720503,0
1.0659301,-0.84768003,-0.29855132,-0.6858989,1
0.61865324,-0.6515924,-0.026034534,-0.10504389,0
0.14185321,-0.24630904,-0.086966515,0.03979307,1
0.0040925173,0.5273,0.31610197,1.4417989,0
-0.27150497,1.2467595,0.9686632,2.4279022,0
1.8985653,-0.564911,0.27463177,-0.062466376,1
0.6017841,0.75823784,0.99835956,-1.0500832,0
0.23106682,-0.29114103,-0.910777,-0.8676497,0
-1.2692873,-0.21041986,-0.8436662,-0.22953038,1
-1.5046751,-0.082650535,-0.8776753,-0.43833488,0
-1.3395365,-0.364294,0.4061383,1.7461846,1
0.44885448,-0.3694062,-0.4284555,-0.12550113,1
0.9687473,0.07675344,0.11543694,0.8165139,0
0.40535963,0.3358496,0.3163969,2.7669547,1
0.13696678,-0.5511639,1.2118297,1.9137818,1
0.3073672,0.34975618,-0.3797355,-0.9983563,1
0.7658737,0.5563147,0.46046358,-0.080344304,0
1.5283796,0.7107835,-0.42350638,0.15173045,0
0.33420774,1.2494216,-0.84741205,0.7163857,1
0.4639495,0.7426034,2.7397375,0.9410638,0
0.83695143,-0.15030581,0.13915832,-0.08915617,0
-1.471842,2.429779,-0.40647396,-0.81775594,0
-0.54842526,0.45532277,0.3316419,0.46082872,1
-1.2951839,-0.4149902,-1.1268173,-0.6193092,1
-0.5320068,0.22148417,0.71629703,1.8665917,1
-0.77955353,-0.3732606,-1.7556176,-1.0014267,1
-0.3891982,-0.9023188,0.7508798,0.26612535,0
-0.5577548,-0.87053835,-0.8578216,-1.0781722,1
1.7544285,-0.080003455,1.5620054,-0.18790577,0
1.438501,-0.35808972,-1.0147798,-0.7186892,0
-0.45706663,-0.59844524,-0.01294443,-0.04034695,0
-0.21865554,-0.07498052,1.2788469,0.69899166,1
-0.96529603,-0.06486431,1.4081488,-0.80620074,0
0.44022915,0.24955836,1.9830517,-0.20753351,0
-0.4735076,-0.08046614,0.24919142,-0.3365714,0
-1.3929682,-0.4788511,-1.6358957,-0.61540353,1
-1.123962,-0.65324575,-0.72083735,-1.1199584,1
-0.27692634,0.21250129,0.6686983,1.7711911,1
-2.0501792,-1.1054231,-0.92195326,-0.959417,1
1.1364131,-0.8186983,-0.74017,-1.0779368,0
-0.3576308,-0.36894882,-0.19549343,-0.024621736,0
-0.5726429,-0.60853636,0.42438152,-0.54368144,1
-0.87150806,-0.2698766,0.38783807,0.44869038,0
-0.5448867,0.066866934,-0.49214453,1.7815833,1
0.71824175,-0.8034125,-0.107282884,-0.04182074,1
-1.445076,-0.7021503,-1.5453684,-0.89723355,1
0.010183059,-0.50073785,-1.0400931,-0.5160111,1
0.548609,-0.09680348,-0.14771238,-1.127365,1
-0.48985544,-0.559224,-0.7469083,-0.15547839,1
-0.4773678,-0.34754986,0.13510938,-0.8577146,1
0.26681617,-0.52171606,-0.77592516,-1.2715709,1
-0.43654042,0.37598208,-0.26830548,-0.84765273,1
-0.9872677,-0.36595622,-0.76585793,0.5466557,1
-1.6566483,-0.12221484,-0.34541813,0.4113485,0
0.40668687,-0.07776379,0.6098453,-0.1332776,1
-0.9366154,0.40706718,-0.5683712,-0.06684338,0
-1.558789,-0.32187882,-0.48789483,-0.84931445,0
0.6980085,-0.5187346,1.1599543,-0.0073094387,1
0.7085842,-0.07689656,-0.35976166,-0.09326434,0
0.41607067,0.8988924,0.899365,-0.38741204,0
1.2422255,-0.4970305,0.34183973,0.35969105,0
-0.972165,0.48776346,0.67498934,4.134148,1
-1.968221,-1.2827183,-1.102565,-1.1239452,0
-1.6034725,0.3792193,-1.357162,-1.0620023,1
0.48195788,-0.65676427,-0.6243982,-0.17981471,0
1.1577652,-0.71371126,-0.18571454,0.857817,1
-0.21353945,1.1486546,1.6479102,-0.2725951,0
0.023420602,0.044895962,1.020825,-1.0858523,1
-1.4602292,2.5398426,-0.5480505,2.3561466,1
-0.41492406,0.68066657,0.85652804,1.0068382,0
-2.005503,-0.22481658,-0.79031855,-0.9020133,1
-0.1599642,0.080074765,-0.43798035,-0.04308694,0
-0.15843454,0.6821553,-0.14985834,0.25430745,1
-0.16588517,-0.39741182,0.5426384,0.15168078,0
-0.19179761,-0.5310452,-0.6399715,-0.6459812,0
-1.6587954,0.3350106,-0.68584806,-0.834453,1
2.561177,0.87787604,1.1483477,-0.72628045,1
-1.3418938,-0.2772759,-0.7408509,-0.90460205,0
-1.0315735,-1.1007985,-1.5511742,-0.6417464,1
-0.5718352,-0.1951633,-0.3506635,0.1743885,1
-1.3444681,-0.4692704,-0.89834446,-0.7727012,0
0.027117878,1.068028,-0.17966408,-0.068602845,1
0.39115354,-0.7841394,-0.27507544,-0.77782136,0
-0.7793999,0.52123094,1.3808535,0.12139833,0
-1.38759,-0.52717805,-0.15103357,0.8923353,1
-0.27537787,0.18659803,-1.1860007,-0.57610863,1
0.6554461,0.93654597,-0.3587755,0.7273806,0
-0.15472451,0.06499529,1.167312,1.6724874,0
0.25640962,-0.08188078,-1.0334417,-1.0850528,0
-1.3503083,-0.89030933,-0.4481875,-0.645422,0
-0.832023,0.7779748,-0.87497807,0.42534116,0
-0.5915577,-0.5236117,-0.8957639,-0.55062443,1
-0.07664021,0.6431246,1.9422694,0.4098141,1
0.81387866,-0.41484457,0.71371615,0.83050096,0
1.7798308,0.4030117,0.42175522,0.25366175,0
2.2742856,-0.38750628,-1.3610613,-0.6010242,0
-0.09080802,-0.40594518,-0.019617043,0.58531284,0
0.68535185,-0.79847944,-1.6352769,-1.1040714,1
0.5929302,-0.77754074,-1.0603771,-0.62992406,1
1.5220883,1.0569848,-0.5519555,0.09000063,0
-0.7347131,-0.3681655,-0.7620988,-1.24841,0
0.27821133,-0.3554987,1.1681849,-1.0188975,1
-1.8743049,0.15229928,-0.42701983,1.6235288,1
-0.9089087,-0.5673544,-0.74808776,0.18108657,1
1.0781226,-0.5643342,-0.24263388,-0.79629934,0
-0.5154388,-0.019463016,-0.74837947,0.21588828,0
0.3185023,-0.9630261,-1.6293496,-1.0671201,1
0.16652697,-0.61845744,0.10384284,-0.74077725,1
-0.568732,-0.40095475,1.1574696,-0.095073864,1
0.25109276,-1.1219847,0.0103049055,-0.77777773,0
-0.52670777,-0.6221941,-1.013793,-0.9821576,1
-0.21410333,-0.012142524,0.42342925,0.57425743,0
-1.1304688,0.448838,-0.81952393,0.03712065,1
0.709043,0.07559698,-0.7159071,-0.81586665,1
0.18377227,0.3939693,-0.20824018,0.14359573,0
-0.9601394,-0.6859435,-0.32457146,0.1124834,1
2.5756688,-0.6366921,0.28227568,-0.9064879,0
-1.1878046,0.1582503,-0.25697687,-0.04231275,0
-0.8311597,-0.33018908,-0.7285726,0.5870292,0
1.4226729,0.18344131,-0.18342201,0.1553277,0
0.06284423,-0.48411205,-0.36578438,-0.702138,1
-0.040137075,0.5417605,-0.06896241,1.517443,0
-1.5047641,-0.5266584,-0.8286372,-0.9790238,1
0.39352262,0.4711573,-0.92856425,-0.14125991,0
0.54305935,-0.29281607,-0.26894388,-0.5662677,0
-0.9214668,-0.043501105,-0.41329673,0.99444616,0
-0.20080328,-0.25360888,-0.18888867,0.4234634,1
-1.1695671,0.17484786,-0.31860664,-0.6645227,0
1.5783204,0.23001917,-0.96239346,-1.0233045,0
-1.5918269,-0.041166484,-1.2044626,-0.7080548,1
-0.5202043,1.3741695,1.3411443,0.7449603,0
1.0305885,-0.60061795,0.09268764,-0.9296892,0
0.24677663,-0.2405664,-0.28903756,0.78630537,1
-0.26350784,-0.49297944,0.82109743,-0.6943265,1
0.5471428,1.0026319,0.006521702,0.13585275,0
-0.28860715,-0.472687,-0.75100505,-0.9462083,1
-0.70069176,0.23918493,0.9089941,-1.0228665,0
0.38726366,-0.44475865,-0.6589372,-0.2989044,0
0.37228632,-0.7516757,-0.6690709,-0.0143011995,0
0.90608567,-0.45314145,0.08567253,0.24200334,0
0.3136295,-0.45506924,-0.17779833,-1.0860955,1
