lepton_pT,lepton_eta,lepton_phi,missing_energy_magnitude,missing_energy_phi,jet_1_pt,jet_1_eta,jet_1_phi,jet_2_pt,jet_2_eta,jet_2_phi,jet_3_pt,jet_3_eta,jet_3_phi,jet_4_pt,jet_4_eta,jet_4_phi,m_jj,m_jjj,m_lv,m_jlv,m_bb,m_wbb,m_wwbb,target
-0.8750058,-0.1239326,-1.2555535,0.9920118,-0.20862007,-1.5864518,1.6337959,-1.0524461,0.43694526,2.0546508,-0.27071357,0.8179487,1.4179776,1.1880877,-0.07347429,0.43229407,0.50044537,-0.29972023,-0.38339108,-0.45385394,-2.3985229,-0.83562994,0.60358393,-1.3618348,0
-1.5756135,0.44644457,1.3265543,-0.049190402,0.007552892,0.87124795,-0.2732097,1.460889,1.2348051,1.9147649,-0.6309615,0.3757097,-0.5072957,0.15820694,-0.4050258,0.7401752,2.3120062,-0.87485665,0.6368004,0.46054146,0.8991723,0.6417036,0.6619155,0.3828661,1
2.2080166,-0.42876709,0.9648328,-0.8857178,-1.8528702,0.44596004,-0.118463874,-0.26867992,0.77065974,-0.2673998,1.8049834,1.0432409,-2.024189,-0.41144803,-0.8832625,1.1375991,-2.1943133,-0.21233076,1.3270861,0.34197646,-1.9189646,-0.54909194,-0.7889167,-0.29830682,1
1.7285684,0.7122353,-1.5587399,-0.8094957,-0.5086687,0.32434967,1.2355926,-1.1177297,-1.1692364,0.73972404,1.2033024,-0.9478469,0.478825,1.7930512,-1.6696366,0.17099333,2.3147783,-1.6402168,-1.0579722,3.3985095,0.2008924,-0.030163944,-0.38351613,-1.853108,0
-1.0279641,0.5902272,1.2391512,-0.65289223,0.8275238,0.5860523,0.6965691,-0.6489395,-0.20943737,0.6241361,1.3381991,-0.40395957,-0.007477641,0.5541576,-0.18301004,0.84842527,-0.9976939,3.842653,1.9439838,0.90850663,-0.78724724,-1.3454233,0.59792054,0.43749028,0
-1.4340452,-1.0891962,0.12804718,0.9663006,1.347819,-0.2541817,-1.1521975,-0.034610122,0.7861717,-0.8799765,-0.7731664,-0.32606584,-1.3230258,1.494535,0.015897125,-0.75734365,-1.5000668,-1.4166837,0.5454391,0.3466802,0.9084016,-1.7300544,0.0435562,-0.96512073,1
-0.6790091,1.5465509,1.1483377,1.5378894,-0.4123134,-0.6000262,-0.25738844,-1.0525315,-1.1483303,0.3004455,1.3236811,-0.2698244,1.3555176,-1.1510694,0.48334745,0.2997667,1.9385335,-0.29011482,-0.0013547018,-0.9062693,0.23625657,-0.43375456,0.65069145,-1.4406871,0
-1.591334,-0.12664992,-0.49177527,-0.29566777,0.7502482,-0.29704517,-0.74510884,0.0896316,0.46536487,0.30751926,1.9957954,-0.2836394,-0.078226775,-0.5593235,-0.3202079,3.251929,-0.44675255,-0.9762094,-0.75480604,-0.16820163,0.41781425,-0.2777629,-0.23742536,1.1795365,0
1.2929915,1.3924079,0.26601332,-0.27479526,0.31143245,0.43024355,1.6001409,-0.33561814,-0.31163493,-1.8060628,1.1030792,-0.95067066,-0.47449937,2.029062,-0.40348536,1.1107507,2.604669,0.64887893,-1.1789724,-0.30386418,3.1409776,1.2075064,0.36005664,0.6248182,0
0.54362154,-0.28783906,1.3755261,0.11501765,0.64476615,0.52222705,-0.056737006,1.3697009,1.579727,0.083322346,-1.048948,0.51812094,0.7505615,-0.84159493,2.4877357,0.6318241,-0.13257869,-0.8104649,0.29856595,-0.6155903,0.81193346,-1.2119877,-0.1168809,0.5166115,0
-0.55736023,1.0837293,-0.016326874,2.048876,0.56962967,-1.2329252,0.26859945,-1.0270755,0.44966704,1.395821,0.97157085,-1.1164814,-0.44625974,1.4817048,-0.5646456,1.0391577,0.93785286,0.8630307,-1.1548872,-0.20974982,-0.444267,0.44157073,0.057140112,-0.038357913,1
-0.9656919,1.7298796,-1.2382452,0.6177727,1.7327328,-0.34317926,0.9800124,0.60229605,-0.5263337,0.10271846,1.2234365,-0.53210175,-0.33905473,-1.5137591,1.892004,2.0050921,-0.76278603,-0.18389085,-0.06040161,-1.0087125,-0.63622695,-0.0507223,-0.5863021,-1.7920971,1
-0.24718201,-1.4896104,-0.31713623,-1.4584463,0.28569913,-0.5219012,-1.5603977,-1.6580235,-0.55164033,0.6483245,1.4694881,-1.5552744,0.8253251,0.34900868,-1.1105775,2.3454797,1.6246083,0.44146866,-1.2890544,-2.0096562,-1.2169068,-0.22300881,-0.18408597,-0.56113386,1
-1.0311369,2.0522373,0.28865227,0.7996923,1.5700775,0.97824264,1.8035424,-1.439956,-0.7365908,1.4388131,0.7158029,0.49179953,2.0794468,0.88688195,-1.0966692,-0.56091315,0.9928148,0.5619048,0.050300837,1.5537263,-0.60868865,-0.41207764,1.0222347,-1.083908,0
-0.5918992,0.6603596,2.2059677,0.9442012,1.3446681,-0.503137,-1.745877,-2.582048,-0.73278654,0.1514909,0.3052027,-1.167215,-1.7164222,0.6692392,-1.0514798,-0.6456428,-1.103504,-1.0454327,-1.1620995,-0.49757436,-0.50944024,0.8597527,0.16299552,0.46138,0
-0.9184792,-1.2284496,-1.1709607,2.4737408,0.50867146,-0.043008775,0.17584649,1.8026688,-0.747877,-0.07001662,-1.489859,-1.2159019,-0.8749149,0.3061744,-1.0535377,-0.18431795,-0.5456924,0.36424822,-0.5633887,-0.123129934,-1.3489273,-0.5883669,-1.3482742,-0.8791961,1
-0.094775036,-0.38215342,-0.2802347,0.0003028214,1.7618153,0.05707723,-1.479928,-0.75244033,-0.8210211,-1.8582534,-1.6640987,-0.4943776,-0.9701414,1.8413794,0.043003738,-1.230705,-2.3741846,-0.74768716,0.6470014,0.55568755,-1.548271,-0.96268463,-1.185137,-0.16924238,0
0.79848945,0.74995875,-1.9090314,-0.15848234,-1.7059103,-0.8764687,-0.829201,1.5635443,1.0888065,1.4762142,0.3231712,-0.9942187,0.8165914,1.4098406,0.9850843,-0.89160544,-0.27260447,-0.5119699,0.18707432,1.004125,-2.0277877,2.1922586,0.9103858,-0.37694418,1
-0.83156645,-0.17579117,0.9754845,1.7273899,1.9494519,-0.39655334,0.59626466,0.07800454,-0.29821122,0.64082825,-1.0196743,-1.7966166,0.9277225,0.26672626,-2.2109766,-2.0316658,-1.54098,-0.6945689,-0.7634692,-0.01856026,3.579258,0.2972715,3.320907,2.325415,0
0.7903109,-0.60387427,-1.3451271,-0.58651954,-2.113242,2.5709782,-1.593473,0.7967624,1.5638705,-2.875638,-1.5369058,-0.72745967,-1.7173465,0.4926427,-0.11208439,-0.13840657,0.7422804,0.76034,1.1343569,0.9400171,1.2150242,1.885293,1.7777662,2.4248142,1
1.6341085,0.3030494,-0.676944,0.8977113,-1.581392,-0.9020193,-0.0008470565,2.04078,-1.0989339,-0.70841575,-0.47354066,-0.18659636,0.49483043,-0.015922308,-0.5694678,1.6974132,-1.5202837,-1.1903274,0.7467871,-0.18242095,-0.46332225,-1.2091501,-0.2143004,0.050715625,0
-0.22575806,-0.5313843,-0.21790963,-0.03429073,0.8731638,-0.36779308,0.020200312,2.4134288,0.3587003,-0.99713373,-1.1107919,0.35951596,1.7580018,0.20375228,-0.3444819,0.11120646,-0.6990508,-0.9278716,0.38651642,-0.024404705,0.19770414,-0.67839205,-0.98173815,-0.7882307,0
-0.10730332,1.246667,-1.1116192,-0.4840174,1.2127571,1.2465045,0.50061285,-0.15878707,2.4584312,-0.51003224,1.9287627,-0.8421725,1.1708006,2.2111614,0.255576,1.6074225,0.9529678,0.3839345,-0.18275502,0.5260192,-0.06571901,-0.07485381,-0.13548994,-0.15297806,1
-0.9090862,-1.0758102,-0.38872725,1.4125223,0.55171686,0.10812378,0.74738145,-0.29200315,0.5625217,0.3375034,-2.9177318,0.59690166,-0.32666057,-1.0809625,0.8561366,-1.3576001,1.1563401,-1.1999121,0.21040899,-0.23372339,-0.041293032,-1.4549556,-0.40873563,-1.0316477,0
-1.1607074,0.5029853,-1.431737,1.3813312,-0.23516367,-0.47331944,0.16323864,-0.9283533,-0.25433904,1.4029621,1.518402,1.4497651,-0.59909856,-0.5408774,0.14750725,-1.6066501,0.37815014,0.7663228,-0.37919194,-1.0431902,-0.1731733,-0.38091612,-0.71691287,-0.28355175,1
0.80529904,-1.3397317,1.0732749,-0.8742176,0.9003394,-1.3885748,-0.38152778,-0.86801755,0.5857564,-0.24412608,-0.3412205,-1.0380201,-2.4395022,0.986274,-1.0470802,1.7195326,1.7878125,1.2250092,-0.08357394,-0.38518938,0.58552265,0.27462927,0.11279662,-0.16073379,0
-0.25794393,-3.1825168,0.7637783,-1.2282871,2.1126127,-0.12478566,0.92789245,1.5258551,-0.8304428,-1.4632049,2.4174013,-0.9974209,-1.5202849,-0.17708082,-0.44553778,-2.4915645,-0.6799266,-0.16641477,-0.99587727,0.8385229,-0.8906641,-1.1271381,-1.4425186,-1.7237335,1
-1.7374485,-0.78448,0.2754485,0.8980516,1.8027792,-0.27289924,0.28228778,-1.4270934,-1.2941004,0.8450659,-0.41763926,-0.42961,-0.76828444,1.8429278,-1.9143502,1.097194,-1.1265274,-0.5317648,-1.074753,-0.3095764,-0.44333082,-0.12999818,0.4113599,-0.06166631,0
0.9859414,0.026569605,-1.3416805,-1.8883727,-0.20570916,0.6971024,-0.7451662,-0.99112874,3.2217042,-1.0462867,0.12810816,1.5543631,2.4611378,1.4044249,-0.6882118,-0.30452955,1.4451716,-0.06443909,3.3166106,-0.27583644,1.0241127,2.708518,2.6893227,4.2198963,1
0.95924926,-2.3478484,0.50649655,-0.23260269,-1.249771,3.3109193,-1.8491175,1.9680681,2.7463422,-0.61349094,-0.538561,6.872372,-0.22624797,-0.95848036,-0.08595063,-2.516276,-0.8823586,-0.17685938,0.09526217,3.4858413,1.266017,3.740148,2.6919441,1.1524265,0
-0.8538258,0.7970177,-0.21403416,-1.1093886,-1.677288,-0.32017052,-1.3369949,0.67321193,1.4263891,-0.49277312,1.2334956,-0.56434757,0.31701678,-0.43179813,-0.60130787,0.37729472,0.2764601,-0.9226754,0.13313279,0.6657882,-1.7509079,-1.299811,0.42068887,0.078466356,0
0.58957124,0.8347802,-1.3410124,1.3771175,-0.77547,-2.0270562,0.37618017,-1.2266917,0.8390939,2.2416174,0.6193238,-0.93735534,1.1798698,1.0286789,-2.102566,1.8711022,2.2373333,-0.35560778,0.81479096,-0.8204913,-0.48405296,0.067599684,0.06927797,-0.25793868,0
-0.025268063,-0.55806446,0.020254731,1.0115768,-1.7816797,-0.4375282,-0.8686974,-0.7137103,-0.31749478,-1.1202109,-0.21281518,0.45608586,-1.125666,-0.56085587,2.2451358,1.7251029,0.74812996,0.29459074,-0.29622555,-0.36973122,-0.9846666,0.0890238,-0.98950696,0.76492584,0
-0.28874013,0.4633459,-1.5001758,0.1127121,0.27866507,1.96079,0.7617209,0.49075064,0.7945747,1.5937327,-0.79634494,0.96650094,-1.0630887,-0.015530646,-0.57128835,0.7428613,0.96874434,0.014583975,2.2699006,-1.9977806,0.34099123,1.1169038,1.4650418,0.5794537,1
3.9326997,-0.049415402,-1.2426704,-2.1120052,-0.6840259,0.80192935,-0.023000807,0.0075995326,0.4465065,-0.90099597,1.374852,2.0110505,0.0751791,3.066805,0.046590418,-0.8948188,-0.66456324,0.68043447,-0.25816953,-0.2608549,1.3290987,-0.2478829,-0.10385217,0.036599994,1
0.8203534,0.6901397,1.3508167,0.12654394,-0.4964392,-0.0133244395,-1.4231875,0.6220788,0.7592461,0.8181715,-3.0914536,1.4816012,1.1636685,-0.5560353,0.74206775,-0.25871578,-1.5780222,-0.25307763,-0.8687704,1.1653527,-1.2752441,1.4191897,1.4315987,-0.25397894,1
-0.24102746,0.6188159,-1.6438749,1.4241511,-0.1648865,0.38570538,-1.9763275,1.0540247,-0.52259445,0.19895506,-1.8232157,1.8996611,-0.9604145,1.3083613,1.5973703,0.7790134,0.5157305,1.4322219,-0.12015107,-0.13022858,2.2424924,-0.067519724,-0.7839695,0.56174546,0
-0.9579109,-1.7680824,-0.6895151,1.9403417,0.8218927,2.2404966,-0.77686703,-1.061383,-0.7481255,-2.8344364,-2.0950012,0.6355937,-1.2352475,0.45169044,1.123914,0.23486888,-0.9537626,-0.8199667,-1.6335629,-0.4076344,-1.8999026,-1.2022126,-0.25326845,0.16949464,1
-1.0684328,-1.1691493,-1.4482317,0.51714456,1.7554575,0.67248017,-0.42054677,-1.8629051,2.6330414,0.6207043,-0.031383783,0.011181176,1.2316105,-1.3434461,0.6736307,-0.7213845,1.6765671,-0.5611796,0.041324615,-0.4778653,0.5474883,-0.14144346,-1.4349414,-0.45157182,0
1.0798874,0.971636,-2.1427207,-0.71914196,0.06805384,0.46696383,1.2447466,-0.89506733,0.17484537,1.8891518,0.8371785,-0.9630253,1.0980766,1.4172763,-0.46232218,1.8198606,1.1750625,0.62612325,-1.5679961,0.586559,0.84944654,-1.3003873,-0.15021658,-0.022710174,0
-0.8472029,-1.8629252,0.05862712,0.3494023,-0.2625578,0.8988712,1.0798595,1.4114019,0.6382129,2.0872455,1.9427044,0.6057369,-1.7995777,1.8331732,1.6820787,-1.0227226,-0.40839154,-0.42612123,0.038838252,-0.24899684,-1.4214597,-0.34234834,0.19718322,-0.5825111,0
-1.121651,-1.1922531,-0.3329134,-0.8609772,0.15293871,-0.92450124,1.2718996,-0.45904884,-0.93007123,-0.57603425,0.09982845,-0.21721523,1.116642,2.5537505,0.16281432,0.40578777,-2.3312435,1.1935102,0.041923076,-0.03807822,1.9093478,0.5717462,0.5652748,1.1270206,1
1.4761015,1.8026445,-0.45191807,0.41643324,-0.72341746,0.17451578,1.0748335,-0.91075116,0.078421205,1.1244403,-0.58345866,-0.15462844,1.2455974,1.6575973,-2.2482567,0.6320857,-0.67735076,-0.4943162,-0.07210684,-0.3608095,2.4062436,0.57248175,0.71705246,-0.29139757,1
0.8459947,0.20249027,-1.058169,0.7303649,-0.83650076,0.24892902,0.82738805,-1.2003771,2.3005602,-1.0452214,1.0319359,0.5563812,0.30005485,0.96986353,1.6662635,-0.70098406,0.6825839,0.3367825,2.2857773,1.1456661,-1.2263548,2.2355337,0.6664479,0.9964234,1
1.6346328,2.1865678,0.41936454,0.77127063,-0.15039027,1.07458,0.5561335,1.533833,-0.4993933,1.9841733,-1.4983803,-0.8756887,2.0237472,-0.6917217,-0.8702607,0.20984566,-0.20644927,-1.8946772,-1.3425138,0.0804528,-1.1685886,-2.5929232,-1.3233786,-0.4808882,1
1.1272769,2.1054692,-1.4362892,0.66141003,-0.55860925,0.4195386,-1.339167,0.6717098,-0.37838513,-2.3868203,-1.81338,1.3056023,-0.36306944,0.29157776,1.8072879,0.68320054,-0.22848698,-0.1491363,0.40141717,-0.47372776,-0.25394365,0.59106624,0.66961086,2.166922,1
-0.70150846,-0.096661985,0.70879763,-0.330216,-1.2416098,0.43155286,0.7768098,-0.43526685,-0.87169206,-0.20747325,-1.6085647,1.5483288,-0.29444662,0.113076754,-1.3017862,0.7256778,0.8943092,-0.5755794,0.10621934,-0.46526566,-0.15622222,-0.69880617,0.7022189,0.57874197,0
1.0463213,-0.88233936,0.01630579,0.149815,1.2519622,-1.0540881,1.0754533,-0.8350786,-0.46675482,-0.9395572,1.5964367,0.2049577,0.36253697,1.3500792,-1.5970068,-1.0324134,-1.723603,-0.23005582,-0.09499102,0.3377138,0.9006952,0.3383637,-0.21466751,0.50494796,0
-0.8982352,-0.84562147,-0.41903692,2.2370262,-0.96328795,1.6490414,0.26203716,1.7721534,-0.051247,1.0890309,1.8400009,-0.4906379,2.0347018,0.05734904,2.143816,1.2097356,-0.27861035,-1.1028028,0.16032448,0.35762686,-0.13481507,0.8300139,1.6259015,1.0350175,1
-0.79965776,2.6921465,-1.1582222,0.5881664,0.60930693,1.7904317,0.036842704,0.9188497,0.7669754,0.23326904,-1.3070806,-1.0974205,-2.7906413,0.8335452,-0.41645765,1.5589957,-1.5732886,2.533843,2.6895874,-0.6525564,3.114801,3.1021612,1.7996686,2.5694382,1
-1.1469736,1.1676517,-2.569665,1.6184735,-1.6284049,3.231955,0.47512937,0.14633483,4.3299294,-0.25016552,0.26129943,-1.4063895,0.53293175,-1.3872455,0.050264582,-1.2241704,-0.5508697,11.14192,9.059437,-0.6584867,-1.6125259,-0.48922104,3.802277,2.4115777,0
0.8211123,-1.2671392,0.66879916,-0.74556816,-2.357874,-1.4398417,-0.4132563,0.58437693,0.49574623,-0.5238779,-0.021168351,-0.45417544,-0.32530218,-0.7463853,-0.84387136,-0.19330896,-1.6914103,0.93263435,0.20089126,-0.5305258,-0.27129558,-1.9704059,-1.2218587,-0.86168486,0
-0.40285748,1.3221503,0.6436463,-1.2072121,0.24494326,-0.39818013,-2.9394395,-0.7166397,1.4860407,0.062647924,1.6360185,-0.6113634,-1.3602705,-0.9582351,4.478237,-0.49514484,-0.22786802,-0.2985071,-0.48406628,0.26010972,-1.5302448,1.7630708,0.063163355,-0.44430748,1
1.2811713,-0.49723032,-1.2384604,-0.42315853,0.90727127,1.4798758,-0.21100053,2.500075,0.42983997,-2.3553727,-1.4802172,-0.9224038,0.7250484,-0.74721086,-0.99696684,-2.015463,1.8064966,-0.46107644,0.2610231,-0.17717156,0.3411672,0.7962297,-0.37971804,-0.20692493,0
-1.1819224,0.8726001,0.2916571,2.474928,-0.37590945,2.0721185,0.57635844,1.0426142,0.7589735,0.20337927,-0.38156694,-0.27913514,-0.33268636,1.7039025,0.93422097,-0.20525867,-1.3964032,0.52403885,0.02227199,0.36636782,5.4333835,-0.5011295,2.9042385,5.356785,1
-0.8729649,-0.5584005,1.5703838,-0.88646245,-0.7805395,-1.3289859,0.34945416,-0.12686555,-1.0050449,0.083643585,-1.6805787,0.05948174,-1.0584766,-1.3242999,0.94392353,-1.6698503,0.90538436,1.2708105,-0.24388695,0.5128797,-0.5127989,0.38898915,-0.87263215,0.26868516,0
1.3242395,1.573686,-1.1674626,0.67242044,0.28009677,0.039582968,0.9022593,0.8569915,-1.0911459,0.16423483,1.7287345,0.5199339,-0.003783822,0.8281628,-0.8557759,-1.349452,-0.09054094,-0.71100724,-0.87262225,6.225383,0.79932785,-0.46266204,-1.8311728,-0.5477255,0
-0.9020711,-2.353847,-0.8497748,0.120135374,-0.010645874,-0.9327067,0.63320446,1.272276,-1.0568259,0.052168626,-1.3504071,0.98003787,-0.60459214,0.5500324,-1.3799946,-0.87660813,1.332763,0.12611213,-0.5148423,-1.2677608,0.15458691,0.4393118,-0.86830777,-0.47878087,1
1.2475364,0.56896144,-1.2142415,-1.1720977,-0.2145809,1.5209981,0.07261485,-1.0739143,-0.5724828,-2.128595,-0.15262032,1.2667258,-0.6765508,-0.010496557,1.6438954,1.5420084,0.7018836,-0.28530043,-0.3166721,0.74648666,0.55244297,-0.07844734,0.15974542,-1.3012758,1
0.89681554,1.7298896,-0.64691615,-0.9083683,-1.2506742,-1.1517404,1.4676979,-0.42467555,-0.6954489,0.34145182,2.1531773,-0.05916196,0.30276307,0.9968098,-0.98191947,1.7173342,0.12936735,-0.058376998,-1.3445165,-0.10423793,-0.057062626,-0.66456133,-0.2336129,-0.9968155,0
-0.12810142,-1.7971716,-0.045344412,-0.8620566,0.16529685,0.38108453,0.3419513,0.52073026,-1.184783,-0.089242876,1.2164257,0.6771944,-0.32828084,-0.6705534,-0.14771974,-0.05451846,1.0141922,0.7236807,-1.2486188,-1.2607815,0.016818374,-1.1436561,-0.11966807,0.053251565,0
-0.20742175,-0.896373,1.6108805,-1.1706878,-0.27298492,0.9675932,0.4918576,-0.5358748,-0.3015772,0.6442242,1.8229512,0.12484893,0.23155695,1.3986717,-1.3399508,0.8672618,1.9722512,0.68298364,-0.0140096545,-0.77280587,1.9509825,-1.1262664,-0.17313895,0.7688651,0
-0.61636126,0.28026354,0.42714363,-1.0663636,2.3908143,-1.1483448,0.8995763,-1.718435,1.1959245,1.3241293,0.38592237,-1.0380908,-0.28873482,1.5757954,-0.22543046,-0.3945147,0.74799025,-0.8565869,-0.90153116,-0.1675755,0.20885664,-0.33933583,-1.3576831,0.5105323,0
-1.1037962,0.08927554,-0.23313105,-1.4712548,-1.2572465,-0.6013428,0.7353114,1.8093718,-0.080968976,1.1575134,-0.07455993,-0.31629968,-0.9513553,1.3423896,0.46228167,-1.3817992,-2.152367,-0.275797,0.61425227,-0.6482748,-0.3808092,-0.86909854,-0.68450326,-0.37933993,0
0.124466,1.2385879,-0.6613216,0.4173757,-1.3867955,-0.3299044,2.4198675,1.8722091,-0.24045852,0.37779373,1.5208325,-0.28107285,1.2024235,-1.6510679,0.18836378,-0.31393877,-0.5586443,-0.9970175,0.0051445365,1.7664598,-0.7682014,-1.5157005,-1.0392689,-0.77278566,0
2.5288115,-0.38877323,-0.6520201,1.7835234,-1.8591255,0.6229301,-0.23671685,0.8222424,-0.80782384,0.8114483,0.5370372,0.32690385,0.71740025,-0.4190278,-0.39115074,-1.4976091,0.5945118,-0.7507361,-1.0316093,0.44001365,0.51768976,-0.5759387,-1.4873638,0.795401,1
1.2161158,-1.7522979,0.46451443,-0.96530175,-0.71949613,-0.9409768,-0.77609754,-0.9565406,-1.0090654,-1.3451259,1.2174758,-0.8810015,1.1609743,1.9340243,0.09651822,-1.4272274,-0.8481554,0.727413,1.3375912,1.5284512,-0.6678601,-0.48665032,-0.20064391,-0.28150392,0
-2.1112242,1.1360265,-0.8916203,-0.52887964,-0.71430963,1.5674177,-1.3973213,-2.6408358,2.8746254,-0.9217503,-0.45772588,-0.4239413,-0.3705696,0.7876792,1.1173368,0.29113233,0.0025733113,2.059159,3.0918863,-0.11924532,1.8691145,-0.56674343,1.1971184,4.8902473,0
0.016429782,1.2730235,-0.732425,0.50380874,1.1115597,0.86389595,0.9063023,-1.2864342,0.10096443,0.6991959,0.13542439,1.0158973,1.5666755,0.13788074,1.1106927,0.8135256,2.1000583,-0.4259689,-1.0084465,0.99532986,0.8290498,1.3360875,-0.46303266,0.23870718,0
-0.2242719,-0.16453624,0.089637816,1.5274966,0.27938297,-3.0703254,-0.17396718,-0.87523705,-0.9845129,0.283787,-0.35287213,0.24148552,-0.7927568,-1.8118384,0.27709883,1.4710532,-1.930003,0.32350576,-0.035350084,-1.0799772,0.27340478,-0.32778168,0.41580045,-0.63124037,0
-0.38942963,-0.56102544,-1.6835892,-0.45999336,0.47610018,1.016849,-0.13445008,-0.28489012,0.66863275,0.34497702,-0.9874118,-1.1183293,-0.98585904,-1.0064371,-0.45757502,-0.30398226,-1.4869206,-0.8606529,-1.2162158,2.446858,-0.6324459,-1.4590042,-0.58050424,-0.5277388,0
1.7583525,-0.7944652,0.44421113,0.0027014613,1.9377208,-1.0845616,1.6132017,-0.9765344,-1.664891,-1.2667761,1.8337924,-1.0235449,-0.6699147,-1.791078,-1.2674023,0.7007328,-0.8942733,0.25964236,-0.347046,0.486235,-1.7432631,-1.2474437,-0.42291233,-1.3922048,0
0.042001307,1.9260252,-1.2355767,-0.0056741238,-0.09817419,-0.70833397,1.3614633,0.49180457,0.80727947,0.39869028,1.426277,-0.33525416,1.2624873,-2.3870351,-0.39125943,1.9124478,0.7675644,-0.3743876,-0.30838522,-0.004028842,0.20362335,-0.87958336,-0.8384916,0.27050042,0
-0.6531596,-0.020120218,-0.3300076,-0.271645,0.8580797,-0.49735743,-0.71365666,0.20703974,2.3282104,1.7418975,-1.1429492,-0.562575,-1.2645468,1.3595212,-0.6212363,0.37063926,1.2039644,-0.21398377,-0.81670403,0.6236157,0.42369565,1.1900673,0.54961455,-0.82269865,1
-1.32165,-0.030493438,1.1425451,-0.32087612,-1.0011575,-0.5976753,-0.12338273,0.7768547,-0.51749104,-1.1082203,-1.3925513,-1.4329526,0.54063296,-1.2313787,0.6748003,-0.76651776,1.3487365,1.4132189,0.119212866,0.5996039,-0.8487805,-0.4530333,-0.89576256,0.5925633,0
0.37840307,1.9562728,0.069164306,-0.28744596,-0.79313457,-0.1264427,0.5062995,0.93073934,-0.98386717,0.04103555,-1.0651996,0.026216835,-0.113040745,0.54077,0.26266885,0.25405282,-1.4657302,-0.25768372,1.6248405,-0.41744497,-0.53005075,-1.3935709,-1.098762,-0.3715023,0
