P5p1,P6p2,P11p4,P14p9,P15p1,P15p3,P16p2,P18p2,P27p4,H2p2,H8p2,H10p1,H13p1,H18pA,H40p4,binaryClass
1.2191076,-0.37581334,-1.9140509,-1.7051523,0.9559459,-0.043055236,2.5520322,-0.987436,-1.0904827,-0.979233,-0.633361,-0.41031036,-1.8103473,-0.5440892,0.075699806,P
-0.34889168,-0.4227753,0.8488507,0.54051167,-0.07059839,-0.09037611,-0.15719709,1.2836876,0.63091624,-0.27474037,-0.2787965,-0.07372412,-0.05740601,-0.2445237,0.7270357,N
-1.0660408,-0.2744215,0.53616357,1.2141442,-0.18172866,0.39711872,0.3704275,-0.25990927,-0.5056935,-0.020861119,-0.3362131,-0.455379,-0.2607642,-1.1728699,0.29144102,N
1.041481,-0.58676106,0.08375871,-1.7712232,1.4843364,-0.6310481,1.3090084,-0.58620334,0.062027663,-0.4638059,-0.11068432,-0.38516924,-1.3753246,-0.0155762285,-0.2744602,P
0.4724727,-0.82667077,1.8155032,3.427763,0.09035534,-0.34537303,-1.1486914,-0.43920696,-0.9612397,1.1394145,-0.506549,-0.8156229,2.2085276,0.67013,-1.5000993,N
1.8809767,2.212345,-1.7241693,-2.5456748,-1.3822083,3.058443,3.0276563,-0.7169566,-1.1456926,-1.1709964,3.1795976,-0.38137138,-0.28394943,0.49265915,-1.4576256,P
0.20712957,0.24254042,0.4089949,0.306543,-0.26145127,0.5357702,0.26821765,-0.9116485,-0.94039166,-0.2740848,-0.7017462,0.23483151,-0.83459556,-0.5223836,-0.96723676,N
0.5890198,-0.09917775,-0.2208597,0.25281408,0.384313,-0.13347723,0.59982413,-0.6011781,0.123486355,-0.809619,-0.6777308,0.28465277,-0.25529093,-0.7261567,-0.123847455,P
-0.48035955,-0.5676369,0.40320233,0.7611648,0.3000225,-0.6118758,0.10278166,-0.1004456,-0.5638944,-0.51402783,-0.68899506,0.1832114,-0.13144368,2.0894713,0.77866983,N
-0.43209437,-1.0518218,0.6115483,0.3980721,-0.057172865,-0.3490734,-0.86289406,0.024450809,-0.24802147,-1.2963364,-0.31674755,1.0531363,-1.1567737,-0.088413894,0.17589831,P
-0.7830804,-0.99053913,1.402759,0.36818072,-0.24311085,-0.48190337,0.39200938,-0.21287318,-0.08906485,-0.19704574,-0.94481593,0.0687343,0.42577904,0.11608642,0.19403112,P
-0.7559946,-0.23315004,0.2683508,0.47153977,0.05464676,-0.21003589,0.3054965,0.10873249,-0.36516047,0.13463238,0.08180535,0.00602901,0.10770485,-1.1069566,-0.9863653,N
1.3204286,-0.47386092,0.034298576,0.7104502,0.78419405,-0.20001374,1.1661725,1.3908259,0.16254905,-0.49198526,-0.3158098,0.12897481,-1.9042059,0.5399243,-1.714554,N
0.5573262,0.0785453,-0.10400452,0.6221405,0.32356274,0.81604415,0.15145294,0.0039557815,-0.66037744,0.40153685,-0.16602626,-5.525206,1.7841816,0.7834175,1.969017,N
-0.27869534,0.19259113,-1.1403188,0.35583723,-0.99110556,1.1264832,-0.805392,0.4179986,0.85249734,0.025665179,-0.16315843,0.30672538,-0.06469083,-0.8274852,1.2116057,P
0.2827061,-0.13388155,-0.84301496,-0.2778836,-1.2162021,0.6015346,-1.1909454,-0.27063996,0.97957456,-0.012703214,-0.03527677,-1.973177,0.9041024,-0.057862535,-0.19939223,N
-0.09515646,4.352835,-1.0204812,-0.1901517,-1.4815058,0.52106357,-2.2372317,0.13811195,1.9965367,0.23626316,3.7778456,-0.06637095,0.93186146,-0.1765387,-0.025869131,N
0.06524402,-0.10628213,-0.5739,-1.2031634,0.1270521,0.23908958,0.2673019,1.5288388,0.29537788,0.023776669,-0.20684965,-0.07457511,0.759977,0.38041222,0.10635025,P
-0.917981,-0.097351685,0.09167121,0.45447826,0.10215986,-0.038802892,-0.021245314,0.017389357,0.22524363,-0.19252896,-0.1354917,0.5328688,-0.6727275,0.29811072,0.10617906,P
-0.067224324,0.34579358,-1.1089928,-0.48371315,0.30008733,-0.26221296,0.87747943,0.5640292,-0.792686,-0.08369391,0.36439243,-1.9589972,-0.24690366,1.377413,0.4926998,N
0.9497511,-0.15400022,-0.33604276,-0.8516108,-0.09044412,-0.27819234,-0.7506764,-0.20357606,0.14113733,2.2602665,-0.34798717,0.12531209,1.7231436,-0.08228495,1.5210364,N
0.57388556,-0.6446803,-0.85382783,-0.16406077,0.84337354,0.9390423,1.480649,-0.5916337,-0.45616955,-0.8546248,-0.77164596,-0.15139726,-1.7201037,-0.24657363,-0.38082922,P
0.088309765,-0.13086872,0.1826733,-0.54419756,-0.19253282,-0.20267417,-0.30194053,-0.21424189,0.3662279,-0.8365332,-0.80364966,0.9437587,-0.22426571,-0.65552247,-0.79906464,P
-0.07656452,-0.37688065,1.3674666,0.35478958,-0.11618493,-0.98763883,-1.1172135,0.39965463,-0.33689642,0.16743764,0.6087837,0.6096531,0.35033864,-0.98680943,0.28627446,N
0.3916968,-0.34321052,-1.5330656,-1.4889766,0.46932286,0.026704341,-0.28250036,-0.23763347,-1.1370976,1.213547,-0.35714298,-0.36854407,1.2194546,1.382096,-1.3565704,N
-0.83427167,-0.3539617,-0.9474814,-0.9921678,1.7512329,0.055915028,1.9936378,-1.0214808,-1.084866,0.14278775,-0.47473878,-0.27120495,-1.1072586,1.2766806,1.7166288,P
-0.71540725,-0.7828507,0.51822716,1.5922337,0.6726743,-0.9555971,0.2138039,-0.43406516,-0.9862319,-0.030362546,-0.18251938,0.5315452,-1.0081518,-0.32130787,0.52491707,N
-0.91398585,-1.2551823,-0.8927964,-1.4993141,-0.21784031,-0.73856795,0.19459817,-0.031952057,-0.1382153,-0.21378504,-0.56007904,0.8844054,-0.2180517,-0.6379391,-0.26536998,P
-0.8115674,-0.48331806,1.6485381,1.7935743,-1.2925828,-0.760571,-1.2846099,-0.49983248,0.7725682,0.19879448,-0.884498,0.36994892,0.94992065,-0.81621146,0.28719428,P
-0.11252208,-0.1891576,-0.6073609,-0.7415988,0.58706266,-0.4419558,0.14658275,0.5925852,0.60437655,0.41322997,-0.27295065,0.6286822,1.0157045,-0.80581224,-0.53986996,P
0.32053736,0.26243743,3.004959,3.2774673,-2.3247328,0.056129545,-2.247399,-1.0227159,-0.26050854,1.9360512,-0.4461949,0.15546142,0.08519764,-0.83267987,-1.6149254,N
-0.4357205,0.8517568,-0.22877035,-0.74387544,0.1382733,0.0003758967,-0.018317342,0.20132554,-0.70295274,0.12747604,0.915914,-0.3890375,0.5313934,0.027827874,1.5599005,N
-0.8200942,-0.34661272,0.22267547,-0.46080753,-0.5167068,-0.43737012,0.10718381,-0.7998572,-0.65537,-0.5772515,-0.72911006,0.6857052,-1.8044399,-0.23047623,-0.6944477,P
-0.20357311,0.50366944,0.64657414,1.4539859,-1.471967,-0.6738252,-2.0361123,-0.09532881,0.0970726,-0.81890595,0.4064363,0.036948532,1.2568929,-0.43644437,0.20789348,N
-0.64732885,-0.8890009,1.2874808,1.0796131,-0.27679217,-0.31521672,-1.4461274,-0.11791406,-1.0664635,0.2628838,0.098707944,0.17224437,-0.065316014,-0.14811265,1.0793393,N
-4.1583176,-0.102208644,8.502125,6.4012346,-3.8256054,-0.5464599,-3.1742249,-0.31168678,-0.24502343,0.23924965,-0.41608515,-0.20982665,2.646972,-1.6515521,0.12068626,P
1.3085395,-0.14132771,-1.1288552,-1.6861477,0.5780329,-0.22998804,0.5170713,0.34425655,0.99731076,-0.34634277,-0.43720558,-1.1440679,-0.20776248,0.86149347,-1.2785009,P
-0.8388107,-0.9413258,0.025632262,0.37458438,-0.28518745,0.22376716,-0.392688,-0.07849543,-0.52426356,-0.5427645,-0.5735636,0.85526633,-0.34168082,-1.0205331,-0.26027638,P
-1.2063835,0.5029,0.5980196,0.56094205,0.44093564,-0.703809,0.0521126,-0.333668,-1.0298901,-0.54656124,-0.45808968,0.44315672,-1.5479896,-0.33687645,-1.733073,N
-0.9511369,-0.3366117,0.68956465,2.322759,0.13206553,0.26632932,-0.45085728,-1.4542857,-0.79123175,-0.057324767,-0.22267981,0.16667213,0.26305702,-0.62143373,-0.11880851,N
0.06350346,-0.42171517,0.49027246,-0.045787565,0.12138662,-0.19403766,-0.30008343,-0.5614272,-0.4653412,-0.53464425,-0.9261056,0.9681084,-1.1625614,-0.45169896,-0.44069508,P
0.20744723,-0.40871635,1.9881078,1.9986098,-0.43539578,1.3823743,-0.7008549,-0.532974,-1.0457999,0.85515785,0.24315897,-0.07505259,-0.09685463,-0.72899354,1.5704148,N
-0.41780558,-0.90674424,-0.28439796,0.46288168,0.6819213,-0.5479653,0.75099695,-0.85277104,-0.829065,-1.3942102,-0.6638601,0.36218327,0.38540548,0.2386657,-1.401413,P
-0.24445772,-0.001280874,0.1519377,0.30527097,0.7821985,0.0476391,0.83586776,1.065628,-0.51564527,-0.5230181,-0.8005727,0.5936191,-0.84826636,-0.35167998,-0.47128505,N
-0.3243809,-0.8649221,0.67857736,0.8517064,-0.18160424,-1.0012645,-0.35185927,-0.33357972,-0.8953568,-0.7299845,0.4943273,0.73557556,-0.45334947,0.02557391,0.5902816,N
1.5056143,-0.76936084,-1.0726728,-1.0294551,1.6415634,-0.54382277,1.156101,-0.90290886,-1.3819672,1.1116691,-0.7603233,0.38777238,0.06334655,1.7509024,1.6046988,N
-1.2853158,-0.5363593,0.60218966,1.2487702,-2.6293163,3.6036258,-0.4095375,0.5571996,0.53554624,-0.56974477,-0.703969,-0.07787943,0.17397875,-0.8020741,-0.44141725,P
-0.41879535,-0.661217,-0.18122865,0.5964341,0.76151556,-0.69725794,1.3099575,-0.5402608,-0.98268956,-0.20395124,-0.47505775,-7.8243747,1.397613,1.9459019,0.75930494,N
0.75542015,-0.4181613,1.0450747,0.24865568,-0.54037195,-0.5297962,-1.2757895,1.3577453,-0.37101883,0.9514219,-0.61678815,0.19858192,0.3022013,-0.23984507,1.2385881,P
2.126336,-0.47414666,-1.7067635,-1.4890687,1.4412904,-0.32685032,1.3531461,-0.8469496,-1.2959663,0.5346049,-0.41934875,0.1529995,-0.47087598,1.9893228,1.9032413,N
0.88437665,-0.4004875,0.74833286,0.56867063,-1.9542516,1.7998157,-0.9137516,1.1990821,0.7408759,0.108477324,-0.689778,0.046866536,0.85441625,-0.0492419,0.6866589,N
-0.20894612,-0.112154335,0.1119782,1.3074101,-0.15328601,-0.26060522,-1.0306809,-0.38164598,-0.7736102,3.328982,0.013929695,0.92049694,0.26340848,-0.17089474,0.6668358,N
-0.7931538,-0.28553715,-0.73023486,0.3267556,0.32594532,0.011361927,1.0250363,0.15563323,-0.47976872,-1.1182944,-0.059346557,0.7408649,-1.2084563,0.039702505,1.7580763,P
1.1980325,-0.6769563,-0.07180697,0.8331969,0.2852618,-0.67552805,0.77941227,-0.88035727,0.49052233,3.0856862,-1.000077,0.16518322,-0.5097288,-1.3910216,-1.8080881,N
-0.6532875,-0.31936347,0.7388397,0.4363696,0.16092032,-0.15349552,-0.20036888,1.0648719,-0.40893126,-1.1015962,-0.8061332,0.31492066,-0.087391436,-0.010872513,-0.2854619,N
0.23773536,-0.5660734,-0.40027863,0.14567211,0.03259103,0.109437555,-0.8187413,0.8772764,-0.9463841,0.5654353,-0.073887825,-0.11322963,0.7112659,-0.37887394,1.2944916,N
-0.1354889,1.8062822,-0.7230447,0.1922085,-0.21675211,1.3141127,0.18544933,-0.24095501,0.19268961,-0.09640101,1.9100682,-0.0357017,-0.19498861,0.22097705,0.6377127,N
-0.9166584,0.35126087,-1.0285783,-1.1600363,-5.9391136,9.134094,-1.3998518,0.7510346,1.8032875,0.42541128,0.13513978,0.3379237,0.8454257,-0.7324559,1.8213491,P
0.02117762,-0.71366143,-0.12608573,0.20926568,1.421756,-0.7935064,1.6393287,-0.7269464,-1.4086287,0.37290305,-0.45021692,0.22803167,-1.8171669,0.49788868,1.9085189,N
0.16342053,-0.5415046,-0.3088327,-0.93455344,0.8097425,-0.5874235,1.5964929,-0.49038708,-0.83159906,-0.84280825,-1.0473661,0.042679414,-1.5829407,-0.91932917,-0.1401945,P
0.15532452,-1.3178701,-0.2067745,0.020603612,-0.83225626,-0.4828579,-0.6539803,0.5798132,0.62201774,0.17130035,0.28462362,0.5659564,0.5427124,-0.8350229,1.405362,P
-0.39386308,-0.26308188,0.48860314,1.0158439,0.6132482,-0.10964258,0.55263263,-0.765319,0.50306517,-1.037048,-0.095124185,0.61443007,-2.0874484,-1.4012002,-0.61222535,P
2.076124,-0.40787667,-0.4887626,-1.4291377,-0.72421664,0.20504144,-0.5362101,0.5877415,3.5507183,4.4693,-0.4430641,0.06385217,1.5280181,-0.46112868,-0.07196279,P
-0.8141509,-0.18437554,0.35113147,0.24448457,0.06956652,0.12734544,0.39554304,2.5823905,-1.1538014,0.6076698,-0.36651805,0.7243935,-0.67807746,-0.54272467,2.0121796,N
-0.37813634,-0.3062899,-0.95251286,-0.18064994,0.87380344,-0.7895372,1.3121852,-0.5169685,-0.3148651,-0.38964805,-0.6580819,0.2799318,-1.6203262,-0.04719673,-1.2665861,P
-0.14975709,-0.9560478,1.7315927,0.45498312,0.5367054,-0.11436066,-0.28860205,-0.4479368,-1.0765158,-0.07484239,-0.73281133,-0.050989866,-1.2135133,0.77676773,1.7560788,N
-1.4848913,-0.73573655,1.5509207,2.3424368,-0.99157596,-0.39881366,-1.6277852,-0.9960555,-0.78888977,0.9573297,-0.7406964,0.52139854,2.7921317,0.45554093,-1.5298784,N
-0.04310596,-0.3899706,0.10601559,0.60043335,0.7749309,-0.7097248,0.6729473,1.0575919,-0.4334306,3.0650494,-0.20384985,0.63933694,2.2337592,1.3978255,1.3622243,N
0.43484268,-0.398358,-0.7404755,-0.8278309,0.6018133,0.040703073,-0.18250242,1.3120426,0.83976924,-0.5839902,-1.086884,1.0366349,-0.41911218,-0.32998243,0.95764875,P
1.291565,-0.85116404,-0.5838642,-0.9297341,0.93632555,1.2326226,0.19134519,0.34800526,0.1685123,0.5020253,-0.86708486,-6.1567473,1.3074045,1.935996,-1.8448309,P
-0.5086315,-0.6799365,2.6725807,2.021633,-0.7851077,0.80853677,-1.5114568,-0.7920694,-1.1665853,0.20718499,-0.99551314,0.33752477,0.9876209,-1.2375762,0.45953143,N
0.794342,-1.0357585,-0.73317087,0.15242133,0.805597,0.20132908,0.44275808,0.98345125,-1.229328,-0.81340194,-0.16120537,0.6456474,-0.76724535,0.3387517,2.0112805,N
-0.96094024,-0.5704349,1.0488801,0.91416246,-1.0748177,-0.31029183,-0.9679319,0.08102696,0.025359929,0.16282982,-0.7450781,0.83315396,-0.2999678,-0.68944,1.164177,N
0.37015432,-1.0328963,-0.53645253,-0.50170845,-0.43094704,-0.058677167,-0.8013867,-0.6291991,1.2488933,2.068322,-0.8721055,0.10985714,-0.5761216,-0.3640204,-0.27213705,P
0.15887143,-0.30604932,-0.14427392,-0.19755365,0.6050629,0.2245557,0.22440155,-0.6402347,-0.25019556,-0.78648967,0.0036670864,-0.07279748,-1.0582988,1.2483566,1.1350574,N
0.94738734,-0.4870057,-1.602148,-0.8352984,1.3722198,-0.5300934,1.5281944,-0.9617512,-0.34262922,-0.7227017,-0.26487535,0.3041363,-1.364071,-0.50607836,0.30838096,P
0.62995595,-0.56720454,0.33451962,-0.35402662,0.36739773,-0.68678325,0.8263556,-0.79343367,-0.3918564,-0.21062016,-0.55364376,-0.024428964,-1.5201905,-1.123911,-0.23425722,P
-0.06693074,-0.23654217,-0.6175636,0.57907736,-0.6657028,-0.36969,-0.5870787,3.4599557,1.4983764,0.09429833,0.05130899,0.96490425,0.49381828,0.00016798079,-1.7649897,N
1.294832,6.4752874,1.2845399,1.0295637,-0.25548768,-0.50465024,-0.609257,-1.2115369,-0.5764471,-0.42045042,6.4477067,0.9102219,1.4794128,-0.14091986,-2.0188217,N
0.32077187,-1.1237524,-0.8477483,-1.1465719,-0.19816896,-0.4162886,-0.8560085,0.9106328,1.7487311,0.86541945,-0.13174514,0.98607415,0.1578593,-1.1989915,2.161107,P
1.080953,0.7620722,-0.75654435,-0.3656742,0.49832076,-0.53904307,2.3741364,-1.1061872,-0.84023046,-0.49418288,0.3288415,0.09072384,-2.0947642,-1.2980168,1.8061876,P
0.99663377,-0.11285255,-1.9805198,-0.7285915,0.00039982796,-0.5621656,0.54099286,-0.31719297,-0.29425254,-0.01391682,0.05219561,0.15784076,-0.24114701,-1.3089453,-0.5462904,P
-1.6889906,-0.38029683,1.4584595,1.4326239,-1.5420792,1.6830423,-1.297987,0.42964143,-1.1068877,-0.028137565,-0.7160243,1.0001425,0.18175828,0.28398323,2.0691075,N
1.4761744,-0.017253995,-0.18094033,-0.33151454,0.08501476,-0.09259114,-1.1404349,-0.46066332,0.31083602,1.0311525,-0.9223946,0.8382507,-0.49614453,1.0343355,-1.4144993,N
